População
Rondônia;;1.815.278
Acre;;906.876
Amazonas;;4.269.995
Roraima;;652.713
Pará;;8.777.124
Amapá;;877.613
Tocantins;;1.607.363
Maranhão;;7.153.262
Piauí;;3.289.290
Ceará;;9.240.580
Rio Grande do Norte;;3.560.903
Paraíba;;4.059.905
Pernambuco;;9.674.793
Alagoas;;3.365.351
Sergipe;;2.338.474
Bahia;;14.985.284
Minas Gerais;;21.411.923
Espírito Santo;;4.108.508
Rio de Janeiro;;17.463.349
São Paulo;;46.649.132
Paraná;;11.597.484
Santa Catarina;;7.338.473
Rio Grande do Sul;;11.466.630
Mato Grosso do Sul;;2.839.188
Mato Grosso;;3.567.234
Goiás;;7.206.589
Distrito Federal;;3.094.325
