 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Natureza jurídica: 203-8 Sociedade de Economia Mista, 204-6 Sociedade Anônima Aberta, 205-4 Sociedade Anônima Fechada, 206-2 Sociedade Empresária Limitada, 207-0 Sociedade Empresária em Nome Coletivo, 208-9 Sociedade Empresária em Comandita Simples, 209-7 Sociedade Empresária em Comandita por Ações, 212-7 Sociedade em Conta de Participação, 213-5 Empresário (Individual), 214-3 Cooperativa, 215-1 Consórcio de Sociedades, 216-0 Grupo de Sociedades, 217-8 Estabelecimento, no Brasil, de Sociedade Estrangeira, 219-4 Estabelecimento, no Brasil, de Empresa Binacional Argentino-Brasileira, 221-6 Empresa Domiciliada no Exterior, 222-4 Clube/Fundo de Investimento, 223-2 Sociedade Simples Pura, 224-0 Sociedade Simples Limitada, 225-9 Sociedade Simples em Nome Coletivo, 226-7 Sociedade Simples em Comandita Simples, 227-5 Empresa Binacional, 228-3 Consórcio de Empregadores, 229-1 Consórcio Simples, 230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária), 231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples), 232-1 Sociedade Unipessoal de Advogados, 233-0 Cooperativas de Consumo, 303-4 Serviço Notarial e Registral (Cartório), 306-9 Fundação Privada, 307-7 Serviço Social Autônomo, 308-5 Condomínio Edilício, 310-7 Comissão de Conciliação Prévia, 311-5 Entidade de Mediação e Arbitragem, 313-1 Entidade Sindical, 320-4 Estabelecimento, no Brasil, de Fundação ou Associação Estrangeiras, 321-2 Fundação ou Associação Domiciliada no Exterior, 322-0 Organização Religiosa, 323-9 Comunidade Indígena, 324-7 Fundo Privado, 325-5 Órgão de Direção Nacional de Partido Político, 326-3 Órgão de Direção Regional de Partido Político, 327-1 Órgão de Direção Local de Partido Político, 328-0 Comitê Financeiro de Partido Político, 329-8 Frente Plebiscitária ou Referendária, 330-6 Organização Social (OS), 331-0 Demais Condomínios, 399-9 Associação Privada, 401-4 Empresa Individual Imobiliária, 402-2 Segurado Especial, 408-1 Contribuinte individual, 409-0 Candidato a Cargo Político Eletivo, 411-1 Leiloeiro, 412-4 Produtor Rural (Pessoa Física), 501-0 Organização Internacional, 502-9 Representação Diplomática Estrangeira, 503-7 Outras Instituições Extraterritoriais, Não especificado ou ignorado
Período:Jan/2008-Set/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";-;1;-;-;-;-;-;7;42;105;393;1828;5242;5562;5105;5175;5148;6099;7080;7332;6875;6907;6699;5864;7062;6923;9130;8415;8403;7383;7884;8161;8019;8521;8352;8359;8670;7945;9036;8551;8622;7861;8332;8618;8403;8182;8293;7930;7821;7785;8691;8836;8274;8195;7814;8681;7918;8245;8254;7422;8143;7943;8451;7952;6294;1067;582;490;414;492;388;254;280;254;334;358;325;298;296;387;366;332;326;315;295;331;398;397;414;467;516;489;472;526;481;404;356;455;518;502;510;570;501;481;450;512;592;642;571;571;497;366;685;635;547;590;607;603;540;524;468;532;563;518;596;561;592;700;679;702;650;531;548;550;654;611;688;661;690;723;639;698;840;798;818;898;960;910;1182;1110;1190;1120;1005;1111;1116;1123;1095;1025;1004;757;899;1155;1276;1293;1173;1194;1090;1050;1074;942;1148;1171;1328;1207;1242;921;346;484936
"12 Acre";1;-;-;-;-;1;-;5;17;100;573;1490;3735;3723;4163;4223;4471;4478;4083;3823;4182;4141;3928;4060;4053;3782;4519;4274;4597;3933;3787;3027;1971;4232;4158;4026;4034;3624;4556;4508;4293;3963;3958;4102;4156;4406;4124;4054;4621;4129;4573;4344;4859;4355;4311;4304;4233;4118;4148;4115;4512;3832;4047;3003;2474;964;943;970;997;1106;1042;1002;970;1067;1060;1147;1077;1018;1022;1145;1075;1001;969;953;984;967;1057;1099;1137;1064;1018;750;656;662;609;574;508;538;622;521;433;402;415;446;447;450;414;429;468;498;481;460;506;477;457;501;505;484;452;486;481;469;539;468;531;487;491;501;483;489;439;435;464;432;485;508;483;493;463;527;458;505;445;413;503;354;425;503;568;554;581;576;556;542;526;476;469;460;444;328;370;367;388;415;538;533;514;505;505;431;408;395;567;562;496;263;-;285428
"13 Amazonas";3;2;-;1;-;-;1;59;69;565;2780;9979;13628;13828;14869;14323;14904;14578;14936;14413;13346;12602;12137;12050;12585;12170;13891;12228;12526;13409;13492;13728;13201;12614;12707;12549;13542;12401;14616;13674;13545;13197;13188;13595;13485;14067;13212;13308;13978;13488;15187;14388;13665;13539;13345;13716;13051;13756;14317;11683;12991;12155;14342;11122;4356;605;622;642;533;579;595;566;646;526;500;598;591;551;613;690;615;694;661;693;667;523;649;703;847;704;833;783;818;750;787;706;753;727;829;825;847;832;740;716;718;732;694;649;666;695;727;662;630;513;342;404;403;368;353;380;443;448;513;476;526;463;445;472;455;493;459;460;463;420;493;439;490;402;496;569;499;552;516;530;560;524;526;465;486;477;429;467;482;525;461;414;456;510;455;304;322;343;387;450;393;422;388;402;430;364;413;483;453;476;489;449;40;776344
"14 Roraima";-;-;-;-;-;1;-;14;8;73;818;1121;1898;1739;2047;2211;2415;2295;2228;2298;2116;2205;2122;1986;2224;2142;2525;2256;2372;2371;2646;2610;2558;2473;2447;2236;2568;2277;2828;2590;2984;3028;3085;3099;2800;2658;2528;2382;2541;1984;2077;2185;2620;2596;2568;2735;2837;2702;2669;2542;2460;2443;1505;1164;821;299;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;139;131;129;123;117;130;107;122;135;134;129;112;102;108;114;130;133;125;116;106;107;119;125;125;169;159;140;149;102;110;144;150;117;145;169;156;161;102;154;155;156;168;120;166;126;153;137;134;121;109;139;120;93;146;146;138;141;133;132;138;24;72;140;183;159;196;115;50;90;103;75;104;194;147;100;11;52;138;138;197;185;149;146;114;92;-;138954
"15 Pará";8;6;-;-;1;1;4;404;798;3202;8690;24743;43817;40225;43274;44734;44894;43375;42102;42623;43120;41511;39500;38044;42604;39241;46754;45663;44842;43580;44144;45996;45576;44457;44155;41346;43745;42286;48037;44248;46360;43746;41934;45673;44367;42910;43087;42265;44268;42044;46579;42490;43492;41299;38734;43303;42302;41776;42089;40953;42610;40014;42883;37142;30860;18542;17298;18787;18793;19029;18685;17209;18806;16829;19216;19964;18909;17665;16545;17555;18369;18519;17754;17284;18101;17519;18945;18796;18605;16467;17478;16749;17263;16670;16179;15071;14987;13893;17306;16332;16025;15290;14650;15113;14831;14778;14070;13487;14010;14042;15873;15015;14411;14113;13462;14961;14710;14152;14275;13144;14319;13082;15213;13198;14691;13802;13521;15014;14016;15362;15258;13720;15137;13926;15654;15593;15275;14477;14252;15522;14569;15780;14067;13560;15297;13858;15013;15277;15901;14437;14203;14362;14696;15172;14911;14393;15008;13947;13708;9592;10262;11249;12699;13105;13072;13898;13292;13284;12251;11459;11932;11266;11840;11923;11274;8199;2258;3983507
"16 Amapá";-;-;-;-;1;3;25;75;272;258;524;1602;2721;2511;2390;2663;2740;2699;2674;2931;2852;3017;2897;3018;3110;2687;3299;3236;3407;3119;3086;3357;3228;3029;2885;2890;3070;2715;3169;3134;3074;3159;3201;3468;3180;2912;2722;2654;2976;2789;3221;3329;3258;2912;3034;3119;3204;3185;3121;2933;3066;2948;3158;2545;1273;523;580;569;582;590;520;510;553;498;546;603;591;534;571;574;533;640;549;517;492;469;530;517;498;518;452;504;444;573;412;399;406;373;465;441;450;433;467;479;498;499;481;264;228;210;243;227;317;387;441;452;444;445;395;411;413;336;479;410;445;417;421;457;557;443;609;551;493;452;487;503;494;480;518;578;579;589;533;506;494;505;521;517;515;541;607;551;616;614;523;481;555;477;505;250;173;199;255;376;443;470;332;360;398;431;319;221;384;494;466;316;94;211335
"17 Tocantins";-;1;-;-;-;1;1;8;48;206;1195;4961;8294;7846;8562;8793;8751;8466;7590;8346;8254;8491;7653;7512;8202;7828;9172;8587;8559;8358;7957;8383;8201;8415;8571;8045;8411;8013;9439;9026;8835;8130;8223;9221;8747;8501;8362;8151;8780;8440;9728;9267;9323;8790;8202;8985;8966;9133;9509;9020;8789;8819;9541;8039;4921;721;759;759;688;765;673;702;692;638;711;709;734;657;632;688;790;699;628;601;645;573;699;716;682;648;793;675;713;753;690;705;694;627;668;660;700;660;613;666;651;674;679;701;710;643;644;651;677;644;695;708;660;668;675;650;624;597;725;707;689;745;684;744;701;706;658;724;706;656;752;847;838;715;805;772;755;828;739;817;792;763;858;823;793;778;766;818;783;781;736;738;742;660;694;765;787;754;737;787;715;758;718;713;735;847;918;952;1036;953;870;682;-;536910
"21 Maranhão";4;6;-;1;3;-;17;461;1103;2803;6274;13992;26181;25847;28377;29188;27669;27734;27433;27837;28582;27068;25929;23784;28154;26533;32689;30362;30650;29598;29856;30720;31897;32414;30618;28626;32634;29964;34454;33058;34014;33077;33117;33897;33798;33182;32886;31223;35259;33794;35398;33386;33579;31731;32043;34748;32705;33695;34654;32382;33460;31099;34970;29650;22535;6476;6487;6465;5787;6044;5871;5296;5612;5319;5600;5690;5610;5132;5463;5491;5604;5846;5413;5002;5336;5142;5661;5645;5834;5567;5789;5948;6280;5882;5553;4618;4886;4528;5700;5162;5409;5171;5432;5571;5441;5354;5212;4730;5087;4802;5426;5096;5443;4888;5064;5540;5183;4934;4970;4246;4656;3929;5172;4336;4753;4415;4632;4842;4410;4434;4161;3722;4132;3743;4631;4871;4685;4304;4432;4511;4215;4818;4399;4060;4636;4437;4538;4435;4726;4388;4785;4620;4612;4206;4474;4321;4381;4017;4008;2605;2884;2913;3420;3788;3886;4134;4137;3702;3504;3776;4188;3843;4312;4090;3786;3240;2172;2198767
"22 Piauí";-;1;-;-;1;-;4;137;372;1350;2993;7149;19593;18396;19739;19263;19030;18443;19004;19154;19262;19045;18080;16898;19666;17485;21947;20394;20794;20038;20602;20134;19845;19742;19976;18220;20698;18729;21582;19696;21043;19208;18938;19329;19146;18906;18722;17772;20830;19506;20486;19110;19198;17881;17827;18489;18449;18418;18330;17283;18820;16995;17847;16336;13980;4862;4533;4625;4337;4319;4457;4029;4772;4049;4437;4724;4656;4270;4437;4076;4093;3954;3680;3447;3886;3642;3949;3840;4194;3721;3796;3594;3805;3816;3565;3304;3472;3119;3804;3798;3436;3187;3260;3138;3153;3084;3132;2825;3035;3156;3360;3174;3540;3505;3404;3544;3087;3086;3074;2841;3022;2922;3489;3101;3387;2960;2879;3049;2758;2875;2667;2798;3039;2604;2949;3102;3206;2787;2935;3005;2912;3188;2995;2809;3075;2804;2983;3143;3267;2939;3082;3054;3170;3752;2721;2628;2941;2761;2773;1966;2412;2423;2467;2512;2350;2391;2393;2317;2379;2350;2286;2188;2315;2570;2550;2275;1641;1383710
"23 Ceará";1;2;-;-;-;-;5;416;528;1537;4231;12017;41997;41110;43877;45769;44941;41628;41498;39793;40935;39462;36021;35643;38793;36858;46459;43941;43101;41229;42061;41328;40248;40574;39162;38281;40270;37242;43821;41367;44091;41069;40715;41586;40045;39831;38972;38040;41969;41111;44395;41959;42245;39860;38608;40896;38911;39467;38308;37171;38835;35296;39611;34926;30699;21119;21662;21665;20965;21598;20509;18889;20562;18989;21410;22685;22508;18963;20263;19898;19611;20009;19605;18615;21475;20036;21312;22127;23135;21291;21857;21684;21637;21836;20486;19809;20158;18230;22951;22550;22531;21573;21879;21844;21015;21444;19516;16971;18092;18035;19086;19232;19725;18769;18451;18944;18151;18128;17335;16371;17624;15928;18426;16427;17388;16183;16354;17139;16697;17493;16936;15751;17936;16021;19059;19177;19647;18226;18469;19320;17917;19819;18500;17064;19892;18722;19280;20010;20482;18033;19132;19136;19261;20286;18262;17507;18639;17739;17129;12011;11509;13305;15408;14767;15974;16638;15888;14842;15391;14152;15183;15847;16913;15633;13465;11565;7906;4235361
