 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Natureza jurídica: 201-1 Empresa Pública, 203-8 Sociedade de Economia Mista, 204-6 Sociedade Anônima Aberta, 205-4 Sociedade Anônima Fechada, 206-2 Sociedade Empresária Limitada, 207-0 Sociedade Empresária em Nome Coletivo, 208-9 Sociedade Empresária em Comandita Simples, 209-7 Sociedade Empresária em Comandita por Ações, 212-7 Sociedade em Conta de Participação, 213-5 Empresário (Individual), 214-3 Cooperativa, 215-1 Consórcio de Sociedades, 216-0 Grupo de Sociedades, 217-8 Estabelecimento, no Brasil, de Sociedade Estrangeira, 219-4 Estabelecimento, no Brasil, de Empresa Binacional Argentino-Brasileira, 221-6 Empresa Domiciliada no Exterior, 222-4 Clube/Fundo de Investimento, 223-2 Sociedade Simples Pura, 224-0 Sociedade Simples Limitada, 225-9 Sociedade Simples em Nome Coletivo, 226-7 Sociedade Simples em Comandita Simples, 227-5 Empresa Binacional, 228-3 Consórcio de Empregadores, 229-1 Consórcio Simples, 230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária), 231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples), 232-1 Sociedade Unipessoal de Advogados, 233-0 Cooperativas de Consumo
Período:Jan/2008-Set/2021
"Unidade da Federação";"2011/Jun";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";-;-;-;-;-;-;1;58;111;79;42;37;58;51;50;55;43;47;44;38;50;45;56;57;46;58;61;59;45;50;49;56;42;52;42;42;62;49;36;37;68;45;54;57;78;85;61;46;63;54;88;87;72;89;91;116;107;116;145;105;112;89;108;97;90;102;102;105;107;114;107;102;94;93;91;99;89;124;117;101;87;102;78;84;91;88;85;77;87;88;78;267;287;264;213;230;255;290;302;258;234;220;220;251;348;402;366;298;274;278;218;279;183;281;226;237;158;159;122;25;13468
"13 Amazonas";-;-;-;-;1;-;-;4;124;124;128;41;91;132;119;121;70;83;64;61;85;67;174;46;16;10;17;15;29;22;12;27;36;29;27;59;36;29;29;29;21;54;56;59;52;67;55;62;60;65;55;58;86;84;96;105;78;59;56;68;70;68;69;53;60;56;61;65;56;52;53;59;61;57;51;52;49;48;20;54;55;53;58;61;56;59;54;55;48;55;45;54;52;31;53;21;57;72;283;367;363;362;120;121;161;255;282;329;355;317;222;184;286;232;317;366;362;376;422;233;11621
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;139;131;129;123;117;130;107;122;135;134;129;112;102;108;114;130;133;125;116;106;107;119;125;125;169;159;140;149;102;110;144;150;117;145;169;156;161;102;154;155;156;168;120;166;126;153;137;134;121;109;139;120;93;146;146;138;141;133;132;138;24;72;140;183;159;196;115;50;90;103;75;104;194;147;100;11;52;138;138;197;185;149;146;114;92;-;10924
"15 Pará";-;-;-;5;31;603;2252;7977;12617;12109;13378;13176;13233;13056;11674;13447;12127;13643;13706;12486;11959;11093;11865;12627;12669;12339;11712;12090;11463;12532;11622;11126;10032;10830;10196;10274;9754;9429;8601;8137;7723;9623;9328;9015;8524;7896;8119;8119;7727;7563;7117;7602;7733;8657;7937;7608;7262;6894;7897;7564;7216;7390;6405;7194;6581;7657;6482;6946;6502;6148;6994;6547;7399;7214;6508;6961;6537;7622;7776;7305;7167;7000;7194;6695;7667;6398;5959;6850;6222;7022;7083;7221;6354;6042;6120;5932;6221;6383;5766;6349;6158;6108;4333;4174;4576;4799;5055;4867;5453;5307;4928;4470;4066;4205;3966;4396;4294;4139;2759;1062;905922
"17 Tocantins";-;-;-;-;-;1;-;16;73;81;80;62;52;-;42;61;56;55;56;-;-;10;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;115;106;126;112;80;81;87;83;100;85;107;99;127;90;81;88;92;77;96;94;93;94;118;109;106;84;88;101;83;93;88;125;122;149;141;146;148;96;46;129;123;112;111;108;132;101;88;86;91;101;89;106;75;75;72;77;108;239;265;282;298;264;157;102;-;8025
"21 Maranhão";-;-;-;-;-;26;208;964;2575;2864;2843;2442;2550;2680;2440;2584;2528;2428;2371;2365;2222;2187;2194;2215;2330;2197;2320;2258;2130;2284;2226;2444;2249;2365;2414;2790;2355;2258;2000;2095;2044;2450;2166;2239;2068;2194;2178;2284;2232;2065;2221;2263;2206;2414;2334;2402;2014;2234;2292;2202;2077;2130;1814;1876;1667;2187;1639;1748;2023;1858;1864;1815;2029;1764;1611;1781;1723;1948;1989;1930;1772;1783;1825;1861;1918;1829;1748;1990;1906;2104;1833;2148;2229;2841;3262;3321;3480;3301;3083;3066;2839;2831;2165;2434;2352;2755;2894;2955;3012;2989;2818;2649;2927;3378;3308;3584;3262;1819;1810;1079;260536
"22 Piauí";-;-;-;-;1;11;82;650;2716;2755;2827;2730;2719;2662;2392;2980;2531;2597;2809;2765;2580;2640;2354;2279;2335;2108;2007;2382;1993;2225;2121;2348;2033;2071;2092;2211;2328;2176;2095;2328;2126;2577;2589;2254;2055;2038;2015;1928;1952;2013;1745;1886;1972;2028;2019;2156;2039;1957;2117;1964;1896;1897;1695;1842;1768;2143;1863;2005;1803;1824;1873;1729;1816;1645;1699;1904;1655;1775;1852;1957;1618;1796;1838;1652;1829;1768;1657;1771;1543;1700;1918;1882;1738;1810;1812;1828;2325;1527;1561;1779;1754;1739;1284;1421;1547;1568;1467;1565;1534;1540;1583;1611;1579;1457;1481;1593;1738;1641;1430;1052;221940
"23 Ceará";-;-;-;6;27;84;189;1630;4217;4374;4309;4111;4299;4158;3679;4091;3556;3691;4181;4049;3473;3776;3661;3624;3708;3698;3428;3753;3269;3523;3648;3791;3250;3715;3434;3414;3426;3274;2813;2947;2723;3492;3372;3181;3248;3384;3300;3098;2977;2794;2590;2656;2592;2876;2840;2753;2668;2794;2793;2606;2491;2460;2107;2013;1892;1424;1165;1190;1101;1058;1019;1270;1193;1154;929;788;707;843;820;692;678;661;686;687;918;852;772;914;859;807;829;981;816;853;852;807;847;807;826;900;839;699;401;334;506;639;718;753;830;867;812;731;657;621;695;618;680;677;509;267;234534
"24 Rio Grande do Norte";-;-;-;-;6;11;73;508;1380;1606;1596;946;1538;1464;1176;1347;1262;1519;1471;1452;1312;1594;1550;1515;1539;1115;1293;1260;1288;1213;1427;1612;1421;1513;1152;1308;1460;1214;1110;1056;963;1355;1200;1314;1306;1273;1373;1197;1266;1212;1210;1136;1186;1290;1092;1329;1113;1089;842;441;1087;1069;1010;1027;849;1048;938;1144;1010;1046;1113;1025;1020;1076;1035;1153;1095;1365;1117;1422;1120;1217;1293;1043;1262;1137;927;1117;1204;1194;1368;1275;1335;1448;1909;1536;1443;1283;1081;1360;1319;1354;815;1092;1016;1378;1552;1722;1687;1555;1420;1298;1269;1463;1271;1400;1347;1411;1733;1147;141944
"25 Paraíba";-;-;-;-;4;95;155;594;2353;2591;2559;2249;2192;2315;2098;2172;1863;2169;2286;2427;2088;2193;2157;2046;2012;1940;1643;1662;1557;1722;1750;1907;1728;1773;1603;1507;1629;1612;1494;1539;1344;1864;1690;1680;1503;1566;1536;1619;1483;1262;1254;1337;1375;1864;1551;1749;1624;1380;1304;1344;1339;1233;1201;1350;1161;1538;1347;1604;1881;1967;2124;1981;1938;1642;1523;1825;1651;1899;1882;1914;1904;1795;1837;1722;1692;1696;1598;1672;1713;1824;2004;2006;1700;1919;1916;1893;1910;1720;1513;1804;1578;1687;1168;1280;1348;1399;1104;1226;1381;1451;1372;1443;1332;1674;1609;1799;1596;1627;1589;1186;191700
