 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Regime: Público
Período:Jan/2008-Set/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"Total"
"11 Rondônia";-;1;-;-;-;-;-;6;39;103;372;1719;5038;5328;4976;5007;4987;5855;6847;6939;6565;6623;6430;5758;7015;6688;8820;8109;7986;6990;7476;7728;7596;8076;7882;8044;8343;7558;8554;8058;8030;7246;7689;7979;7874;7677;7788;7616;7415;7273;8245;8339;7781;7796;7445;8093;7407;7781;7789;7079;7759;7470;8210;8033;8138;7486;7374;7479;7073;7502;7244;7090;7843;7818;9020;8994;8493;8102;8599;8867;8574;9236;9156;8779;9174;8433;9317;9410;9963;9291;9314;9610;9674;9517;9288;8786;8737;8183;9436;8910;9401;8692;8782;8742;7654;4667;741178
"12 Acre";-;-;-;-;-;1;-;2;15;97;556;1412;2923;2900;3209;3304;3530;3584;3159;2941;3308;3363;3178;3235;3229;2959;3603;3432;3743;3123;3001;2350;1819;3448;3444;3302;3200;2912;3244;3699;3510;3236;3283;3231;3342;3649;3461;3396;3919;3511;3789;3554;3948;3605;3533;3558;3481;3402;3345;3364;3781;3256;3834;3584;3688;3683;4097;3721;3765;3807;3599;3253;3664;3065;3811;3676;3475;3316;3618;3519;3542;3928;3629;3352;3503;3353;3653;3863;3852;3763;3774;3811;3368;3878;3738;3510;3522;3167;3520;3550;3658;3760;3591;3013;2604;1769;324225
"13 Amazonas";3;2;-;1;-;-;1;8;19;453;2611;9230;12500;12728;13626;13151;13982;13567;13849;13311;12202;11528;11094;11119;11571;10985;12196;11492;11830;12645;12649;12767;12207;11665;11893;11761;12884;11684;13638;12826;12767;12645;12720;12939;12906;13425;12709;12885;13489;13036;14680;13915;13054;13042;12806;12878;12355;13049;13560;11132;12260;11652;14124;13577;14068;13337;13632;13560;12393;13367;12715;11723;14385;11859;13276;13269;13801;13432;13140;12833;12559;12866;12565;11552;11897;10604;11718;11950;12081;11616;12111;12216;12878;13149;12419;11926;13106;12225;14186;13483;14295;14073;14124;13212;10508;5351;1200743
"14 Roraima";-;-;-;-;-;1;-;14;8;73;818;1121;1898;1739;2047;2211;2415;2295;2228;2298;2116;2205;2122;1986;2224;2142;2525;2256;2372;2371;2646;2610;2558;2473;2447;2236;2568;2277;2828;2590;2984;3028;3085;3099;2800;2658;2528;2382;2541;1984;2077;2185;2620;2596;2568;2735;2837;2702;2669;2543;2463;2556;2811;2620;3019;2655;2529;2663;2395;1970;2519;2289;2597;2314;2779;2710;2879;3103;2902;2867;2827;2830;2650;2569;2724;2298;2750;2630;2884;2489;2836;2657;2657;2613;2581;2401;2626;2304;2608;2657;2928;2851;2996;2049;1493;675;237562
"15 Pará";8;5;-;-;-;1;4;192;294;1342;3733;10815;19367;18536;20206;20009;20047;19637;18711;19128;18836;18533;17928;16662;19192;18390;21784;21400;21662;20750;21228;22200;22016;21420;21218;19918;21222;20372;23692;21429;22344;21635;20733;22537;22453;22097;21848;21224;22930;21375;23377;21916;22092;21604;21011;23191;22911;22636;22484;22461;22747;22215;24272;22707;23553;20939;20193;19987;21478;20881;19916;18715;22806;21581;24781;24902;24584;23070;22868;23249;23099;23353;22176;21416;23227;22149;24719;23736;24676;23391;23835;24833;24557;24073;24128;22566;23748;21985;25653;24857;25755;24173;23552;22098;19049;13219;2070213
"16 Amapá";-;-;-;-;1;3;25;75;270;253;493;1184;2249;1999;1882;2095;2207;2133;2265;2339;2261;2432;2339;2492;2646;2183;2762;2673;2838;2639;2498;2808;2638;2465;2381;2376;2557;2231;2500;2567;2506;2609;2585;2845;2593;2369;2175;2194;2406;2267;2585;2714;2765;2384;2444;2504;2626;2643;2551;2461;2552;2474;2786;2716;2779;2496;2762;2775;2565;2736;2616;2382;2570;2457;2732;2819;2611;2467;2557;2697;2714;2870;2623;2526;2695;2505;2615;2742;2638;2134;2517;2589;2750;2608;2313;2122;2187;2098;2554;2518;2612;2653;2554;2530;2295;1378;236874
"17 Tocantins";-;1;-;-;-;1;1;7;42;198;1127;4578;7198;6979;7687;7891;7826;7592;6788;7423;7403;7587;6821;6610;7288;6981;8203;7649;7588;7520;7055;7514;7311;7519;7946;7345;7789;7451;8741;8299;8143;7488;7567;8567;8053;7809;7685;7548;8144;7829;9007;8541;8565;8026;7535;8291;8307;8494;8827;8333;8118;8156;9239;8996;8681;7928;7654;8095;7829;7567;7243;7323;7712;7523;8513;8477;8539;8178;8006;8084;8315;8596;7977;7676;7966;7536;8106;8065;8167;8097;7568;8188;8096;8090;7285;6815;6383;6136;6914;7233;6817;6622;5995;4899;3999;2395;724515
"21 Maranhão";3;4;-;1;3;-;17;400;1005;2421;5116;10118;18818;18616;20679;21116;19735;19692;19228;19486;19833;18902;17773;16701;20463;19276;23831;22459;22263;21607;21719;22993;24116;24913;23417;22218;25447;23107;26581;25707;26310;25369;25588;25954;26548;25920;26009;25105;27953;26635;27610;26311;26188;24419;24648;27425;25679;26868;27654;26199;26949;25381;29349;27843;29225;27041;26647;27797;27077;25375;22548;21047;29276;25880;29517;29999;30158;27721;28990;29705;29515;30504;28694;27970;30577;28353;31004;30364;30169;28587;29866;30071;29566;29298;27920;27195;28261;27678;34192;32464;30999;29792;30397;29356;25562;18730;2448785
"22 Piauí";-;1;-;-;1;-;3;127;363;1206;2527;5693;14557;13585;14499;14141;14027;13461;13693;14089;13913;13762;13296;12216;14552;12875;16062;14978;15397;14579;15204;14804;14815;14748;14898;13697;15581;13871;15857;14541;15870;14358;14086;14031;14209;14085;13811;13261;15479;14260;15337;14203;13998;13038;13159;13662;13751;13704;13496;12882;14021;12796;13632;13642;14765;13725;13765;13992;13649;13263;12366;12476;13584;12806;14215;15307;15217;14349;14090;13927;14166;14446;13501;13038;14686;13396;14251;14160;14441;13466;13572;13920;14532;13585;12843;12109;13179;12060;14540;15074;14980;13771;13743;13928;12190;8137;1319600
"23 Ceará";1;2;-;-;-;-;-;109;199;695;1886;5389;19748;19666;21105;22123;21542;20139;19752;19252;19700;18201;16256;16271;18236;17783;22590;21063;21031;19853;20161;20137;19924;20287;19445;19200;19970;18643;21843;20905;22524;20548;19971;20560;19481;19658;19228;19165;20972;20766;22713;21558;21516;20071;18966;19815;19123;19219;18884;18035;18740;17073;19405;19008;19946;18203;16551;17320;16676;16921;16257;14777;18929;17502;19963;20994;22026;19869;20723;20846;20587;20071;19103;18912;21022;19987;21347;21604;22184;20964;21958;21705;21512;21486;20109;19405;20202;18733;21891;21941;22617;21769;21365;19845;16384;8825;1863137
