 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Natureza jurídica: 101-5 Órgão Público do Poder Executivo Federal, 102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal, 103-1 Órgão Público do Poder Executivo Municipal, 104-0 Órgão Público do Poder Legislativo Federal, 105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal, 106-6 Órgão Público do Poder Legislativo Municipal, 107-4 Órgão Público do Poder Judiciário Federal, 108-2 Órgão Público do Poder Judiciário Estadual, 110-4 Autarquia Federal, 111-2 Autarquia Estadual ou do Distrito Federal, 112-0 Autarquia Municipal, 113-9 Fundação Pública de Direito Público Federal, 114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal, 115-5 Fundação Pública de Direito Público Municipal, 116-3 Órgão Público Autônomo Federal, 117-1 Órgão Público Autônomo Estadual ou do Distrito Federal, 118-0 Órgão Público Autônomo Municipal, 119-8 Comissão Polinacional, 120-1 Fundo Público, 121-0 Consórcio Público de Direito Público (Associação Pública), 122-8 Consórcio Público de Direito Privado, 123-6 Estado ou Distrito Federal, 124-4 Município, 125-2 Fundação Pública de Direito Privado Federal, 126-0 Fundação Pública de Direito Privado Estadual ou do Distrito Federal, 127-9 Fundação Pública de Direito Privado Municipal
Esfera jurídica: Administração Pública Federal, Administração Pública Estadual ou Distrito Federal, Administração Pública Municipal, Administração Pública - Outros, Empresa Pública ou Sociedade de Economia Mista
Período:Jan/2008-Set/2021
"Unidade da Federação";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;10;12;119;470;2311;6946;7250;7427;7034;7456;7217;7064;7843;7818;9020;8994;8493;8102;8599;8867;8574;9236;9156;8779;9174;8433;9317;9410;9963;9291;9314;9610;9674;9517;9288;8786;8738;8184;9436;8913;9404;8710;8873;8998;8915;8771;8346;8240;8209;8239;9245;9453;9400;9052;8624;8772;8598;8735;8016;7827;8028;7695;9747;9002;9515;8845;8861;9357;8915;9506;9084;9137;9227;8611;9854;9722;10225;9390;9378;9616;9182;9659;9246;8763;8630;8682;9612;9875;10108;8885;8750;8822;9142;9256;9249;8738;8743;8481;7706;6402;6544;6642;7284;7780;7423;7810;8049;7751;7858;7734;9005;8880;8915;8013;6888;5271;1480;963245
"12 Acre";-;-;-;-;1;-;-;1;12;60;533;1263;1901;3424;3781;3479;3515;3541;3359;3006;3460;2800;3509;3366;3189;3050;3336;3257;3236;3630;3330;3104;3185;3087;3324;3533;3530;3438;3444;3589;3368;3878;3738;3510;3526;3167;3520;3550;3658;3764;3627;3668;3670;3700;3332;3437;3500;3454;3563;3383;3414;3516;3631;3581;3271;3280;2946;3249;3292;3002;3265;2899;3231;3370;3429;3524;3343;3501;3517;3231;3499;3091;3479;3502;3465;3351;3500;3527;3326;3454;2672;2611;3006;2808;2834;3086;3497;3432;3451;3296;3415;3570;3124;3120;3371;3332;3204;2501;2448;2662;3161;3159;3187;3440;3330;3356;3542;3415;3622;3535;3594;3291;2895;1834;-;372773
"13 Amazonas";-;-;-;-;-;-;-;1;16;34;420;3046;10321;13337;13632;13560;12393;13367;12715;11723;14385;11859;13276;13269;13801;13432;13140;12833;12559;12866;12565;11552;11897;10604;11718;11950;12081;11616;12111;12216;12878;13149;12419;11926;13107;12228;14186;13483;14296;14076;14142;13748;13515;13367;12904;12668;13456;12687;14443;13935;14086;13890;13524;13601;12657;12969;11959;12088;13143;12615;14324;14096;15049;14674;14526;15083;13960;14954;14034;13869;14908;13268;15066;15519;15831;14974;15780;15560;14889;15546;14667;14196;15496;14376;16439;15898;16177;15566;16399;16723;15854;16467;15587;14823;15799;14677;14604;11890;12862;13464;14812;15022;15049;15096;14811;15780;17389;15124;17031;16128;17151;16765;16710;13307;6934;1576423
"14 Roraima";-;-;-;-;-;-;-;1;3;113;1306;1456;2198;2356;2529;2663;2395;1970;2519;2289;2597;2314;2779;2710;2879;3103;2902;2867;2827;2830;2650;2569;2724;2298;2750;2630;2884;2489;2836;2657;2657;2613;2581;2401;2626;2304;2608;2658;2928;2856;3032;3064;2933;2697;2653;2503;2772;2723;3001;2659;2810;3113;3157;3435;2945;3129;3077;2961;3166;3123;3605;3455;3843;3604;3571;3653;3633;3606;3466;3366;3495;3122;3311;3290;3574;3676;3805;3927;3705;3640;3138;3193;3370;3183;3325;3495;3499;3375;3784;4060;3884;4059;3742;3392;3535;3478;3402;2494;2781;2899;2976;3138;3155;3304;3239;3319;3403;3277;3415;3222;3467;3430;3466;3147;2072;348743
"15 Pará";-;-;-;-;-;-;-;18;123;556;2736;5793;12701;20435;20123;19925;21424;20881;19916;18715;22690;21476;24602;24728;24450;22952;22781;23147;23023;23247;22088;21357;23168;22064;24618;23647;24608;23309;23740;24706;24438;23976;24040;22491;23748;21988;25653;24858;25760;24220;23912;24457;23999;24378;23714;23288;23902;23449;26096;25876;25745;24537;24764;26233;25140;23390;22256;20842;24727;22796;27419;25358;27883;25897;25670;26838;26168;26377;25172;24692;25814;23862;26552;27447;27919;26572;26231;27128;26464;27826;25381;24677;25968;24204;26225;24805;24915;22518;26493;26275;26358;27230;25546;24616;26436;24673;24140;19409;21268;21166;23358;24066;23673;24647;24017;23043;24982;23699;29847;26894;28127;26244;21983;14837;3524;2716953
"16 Amapá";-;-;-;-;-;-;-;-;4;24;177;648;2037;2496;2762;2775;2565;2736;2616;2382;2570;2457;2732;2819;2611;2467;2557;2697;2714;2870;2623;2526;2695;2505;2615;2742;2638;2134;2517;2589;2750;2608;2313;2122;2189;2098;2554;2518;2612;2654;2566;2609;2595;2542;2344;2286;2367;2193;2576;2459;2460;2578;2261;2339;2226;2156;2198;2079;2392;2113;2684;2493;2651;2524;2423;2634;2381;2391;2054;1933;2251;2088;2310;2598;2645;2561;2614;2930;2931;2987;2770;2795;2960;2881;3012;3025;2757;2788;2749;2596;2878;2862;2775;2532;2758;2666;2451;2045;2353;2418;2491;2617;2379;2642;2558;2609;2711;2488;3267;3004;3097;2726;2766;2270;931;287767
"17 Tocantins";-;-;-;-;-;-;-;-;-;3;431;1723;4505;7920;7648;8092;7816;7567;7243;7323;7712;7523;8513;8477;8539;8178;8006;8084;8315;8596;7977;7676;7966;7536;8106;8065;8167;8097;7568;8188;8096;8090;7285;6815;6383;6136;6914;7233;6817;6622;6005;6362;6044;6020;5460;4760;4945;5624;6310;6318;6159;5733;5607;5468;5289;5224;5379;5296;5647;5500;6874;5831;6183;5985;5499;5808;5530;5460;4718;5173;5082;4426;5133;5279;5576;4783;4291;4763;4710;5120;5296;5231;5033;4930;5646;6191;6237;6002;5775;6218;6253;6336;6573;6634;6258;6388;5887;5048;4878;5185;5468;5553;5470;5604;5641;5744;5538;5469;6189;6019;6406;3848;2458;1426;364;698521
"21 Maranhão";-;-;-;-;6;2;2;8;56;156;1292;4264;13127;26075;26267;27447;26769;25075;22257;20704;28960;25509;29140;29608;29823;27408;28689;29446;29225;30234;28435;27718;30299;28063;30721;30047;29858;28289;29550;29753;29256;29040;27676;27002;28012;27416;33865;32151;30751;29600;30275;30425;29691;30712;27930;27138;29603;30033;31497;30844;31004;29841;28069;30219;28405;26859;24878;22503;29235;28678;32656;30706;33650;31982;32731;32128;31219;33162;32760;32173;36113;31080;34699;36189;36886;34056;35061;36296;34977;35839;33196;31486;33788;30819;34996;35556;36456;32718;32895;32232;31908;33321;32107;30930;32519;30620;29811;22057;24754;26009;27542;27976;28127;30047;28318;26468;28908;28921;32208;30238;32403;30281;26601;22119;12647;3362235
"22 Piauí";-;-;-;-;-;-;-;1;5;44;709;1937;5991;13314;13765;13992;13649;13263;12366;12476;13584;12806;14215;15307;15217;14320;14061;13893;14114;14360;13463;13009;14663;13371;14216;14121;14383;13436;13522;13861;14488;13452;12671;11903;12970;11852;14275;14796;14697;13460;13565;14260;14295;14178;13722;13282;14461;14175;15094;14692;15073;14460;14355;14700;14469;14202;13384;12738;14069;13145;15228;14182;15130;14013;13565;13963;13853;14081;14301;13799;14345;12531;14718;15130;15603;14538;14326;14437;14278;14397;13852;13936;14351;13314;14714;14187;15205;14506;14650;15359;15222;15783;15086;14548;15030;14243;12846;9487;10423;10903;11765;12215;13174;13671;13314;13007;14028;12784;14468;14550;15291;13722;12131;10010;7488;1553998
"23 Ceará";-;-;-;-;-;-;-;9;53;174;1279;4490;10698;16108;15039;15892;15022;14911;14528;13084;17026;15704;17907;18964;20164;19011;19754;19880;19764;19309;17849;17414;19023;17982;19240;19404;19753;18468;19366;18942;19042;18861;17563;16892;17720;16506;19379;19571;20028;19262;19064;18635;18346;18252;16867;16508;18093;18666;20437;20266;20657;20295;19440;19820;19242;18268;17545;17114;18988;18665;23402;21597;23855;23138;23018;23272;21825;23206;21557;21281;23137;20741;24011;25207;25551;23906;23914;24605;23223;24888;23240;22222;24495;23277;24931;25433;26536;24648;25512;24889;24529;25228;23963;23565;25224;23425;23372;18898;22351;21486;22201;22521;22898;23120;22850;22000;22951;22448;28711;29203;29301;26125;22785;18040;9856;2343771
