 Unidade da Federação; Renda per Capita
 Distrito Federal; 2.685
 São Paulo; 1.945
 Rio de Janeiro; 1.881
 Rio Grande do Sul; 1.842
 Santa Catarina; 1.769
 Paraná; 1.620
 Mato Grosso do Sul; 1.514
 Espírito Santo; 1.476
 Mato Grosso; 1.402
 Minas Gerais; 1.357
 Goiás; 1.306
 Rondônia; 1.136
 Rio Grande do Norte; 1.056
 Tocantins; 1.055
 Roraima; 1.043
 Sergipe; 979
 Pernambuco; 970
 Ceará; 942
 Paraíba; 928
 Bahia; 912
 Acre; 889
 Amapá; 879
 Amazonas; 842
 Piauí; 826
 Pará; 806
 Alagoas; 730
 Maranhão; 635
