 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Regime: Privado
Período:Jan/2008-Set/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;721,19;1768,67;1213,82;9350,85;46009,29;78267,58;94890,08;45733,85;67468,55;71310,82;117459,99;117109,66;169803,79;146107,70;143871,39;142098,65;59534,22;23044,81;133899,89;172801,95;165635,10;206839,17;176906,34;192851,12;216577,25;214253,66;255412,04;251682,15;165469,59;234492,52;403916,69;579873,57;521453,49;702006,76;678007,25;593660,61;625855,20;582662,90;514975,77;563770,11;557283,70;518869,90;565784,39;531655,99;607585,62;548623,04;528175,25;485783,54;619140,06;533030,94;494831,65;552094,85;460958,72;469023,66;533901,93;477075,18;437107,11;526491,04;562284,34;436589,56;443408,09;427327,42;514204,06;439349,11;350742,76;415940,33;387810,91;485224,51;505295,28;456820,83;473221,48;414838,16;519130,40;662082,20;526682,53;609911,92;553318,46;622871,06;503811,16;694942,96;572023,61;723001,41;666055,42;760257,19;721363,82;656634,85;845426,37;734569,26;710543,53;609560,41;938236,45;726517,95;802665,95;791745,95;904139,12;859023,90;840615,55;485543,82;165951,45;43455868,15
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184,65;-;-;-;-;-;-;6927,80;5546,73;4561,34;17702,94;86210,46;494220,21;479352,17;622160,61;516423,27;628254,24;556608,35;643527,53;554508,31;565338,03;548162,88;531776,78;560029,42;591244,26;546735,78;636190,86;600713,32;633446,27;574174,82;522808,25;427829,37;149126,80;524017,32;563575,40;519896,04;569698,03;486510,60;868713,66;562742,81;527144,31;523616,55;466648,89;619903,80;630304,44;546942,55;516000,84;455628,43;466962,21;411776,33;573115,39;572759,01;801266,04;637323,75;569565,37;647909,20;566471,91;562243,73;603099,47;614343,62;553767,11;520576,90;614438,28;599569,11;594716,57;573717,51;437518,19;583636,28;602403,10;718705,19;666644,80;603924,41;637351,46;636670,45;576456,56;645952,31;657974,44;535109,69;512531,84;649906,20;540871,95;466137,82;442325,04;568764,35;554616,94;509643,81;625942,93;569265,73;716031,17;571530,95;560632,76;495986,96;548050,17;531485,96;519675,24;464481,40;489630,81;456843,95;518453,16;483492,91;382452,62;416722,39;369639,39;435470,08;389342,49;284086,73;51745093,26
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32870,01;37394,38;110741,72;258528,75;760146,07;1091928,99;970407,15;1180560,99;1224223,48;1074959,22;950743,76;1004808,52;894192,81;1101938,31;1072186,66;1259428,24;1066131,49;1067812,38;1196614,32;1207633,81;766473,65;860241,80;1266845,25;1142431,14;1007820,83;1216045,64;1718062,93;1017181,53;845225,97;1037713,57;1108117,26;1399920,77;1220272,12;1326463,37;981660,50;744464,26;1013030,32;1258946,29;1216000,38;1171784,58;1168331,67;1020745,02;1233518,60;1261099,77;1162396,41;1216934,62;942681,47;1340884,82;1200579,18;1443184,50;913840,17;1243089,89;1020000,41;1538142,38;1248779,68;1142758,12;1109775,97;1192277,04;1237670,73;1398898,00;1305249,40;1073512,10;1014453,43;1121933,82;977364,35;1084010,86;1146057,96;1012484,45;1392482,48;1310445,07;1202898,32;1514027,84;1834145,36;1313775,79;1453863,72;1401502,96;1261464,56;1069373,06;725981,99;1232517,62;1405779,73;1945990,57;1915749,38;1569405,08;1923985,55;1892891,33;1891817,16;1988154,30;1617164,93;1802820,67;1569064,85;2011702,05;1894587,85;1891269,65;1922775,76;1783298,15;1881870,64;1179948,76;651741,71;121105104,93
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15918,43;70228,74;61619,74;62726,93;58016,20;58310,29;64961,23;52671,97;61595,45;68542,23;60070,38;66119,70;58759,50;49606,20;29121,19;-;838268,18
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,36;-;-;210,20;-;-;73647,32;178827,48;891859,49;2544758,82;7043312,76;12018967,72;10852180,02;11859008,84;12781253,55;13163975,50;12676116,12;12467733,72;12748711,03;12815651,05;12329593,31;11638035,45;11994826,14;12759120,63;11260001,40;13741010,39;13576426,12;13278460,96;13099050,37;12847593,82;13967251,16;13734107,98;13343081,53;13200158,83;12189151,44;12867472,91;12414188,45;13564533,42;13164357,74;13760155,78;12703758,25;12146541,30;13121403,99;12566936,17;11919765,62;12320271,28;12099622,22;12498242,45;11977224,06;13163051,22;12122995,95;12464307,29;11801029,79;10908555,37;12045144,50;11465011,19;11592067,40;11594528,14;10607785,56;11452005,05;10719774,75;12216384,88;11679323,66;12271119,28;10715638,62;10241827,42;11618762,18;11445929,82;12256557,60;11474536,41;10668137,15;11659566,55;10134359,02;11531182,52;12541011,87;12453277,39;11837038,01;10904198,40;11490033,00;11877718,78;12710992,46;11940691,44;11848806,38;12040139,54;11313777,75;11652307,96;12101029,72;12342596,32;11113532,28;11439738,37;11346021,11;11839088,26;11268104,11;11489519,32;10880830,00;10696018,71;10221308,41;12630618,05;11560876,62;11509601,66;11035880,28;10918212,39;10212841,47;8916479,34;4618907,83;1128799630,70
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13755,47;16416,72;35684,64;325516,93;357749,89;417196,81;350761,60;444199,59;420174,61;424904,38;335941,81;461538,10;504083,60;464297,44;482619,18;424073,90;446069,69;517729,20;549668,85;552821,69;532406,20;446992,08;536071,72;656540,70;484209,06;531532,38;478492,52;403195,67;425327,32;339184,37;565749,07;495854,26;454219,59;473394,18;511874,97;541036,81;433278,19;499231,90;582473,88;393276,18;622148,12;568627,26;571042,86;570193,98;445070,96;454446,57;532749,76;658258,90;493233,32;570420,90;575621,29;409420,98;617366,50;563676,51;598567,15;528847,30;716774,51;605613,51;611675,58;708534,45;628229,92;704408,55;589725,31;509271,93;594719,11;502659,36;635004,68;667156,62;658385,91;599276,11;681639,56;617573,84;573509,41;713970,70;491494,61;543196,10;739782,85;534314,41;621667,57;670688,52;587690,16;631883,56;575295,87;533600,83;580031,87;686776,66;332275,41;395033,56;455984,81;512241,93;610802,02;526029,96;466915,81;551014,53;663589,89;609094,88;294147,52;6432,12;50047352,02
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1283,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1122,46;-;-;-;-;-;-;-;724,07;6140,32;5610,23;102956,40;380486,01;1380704,13;911206,38;847984,73;926544,70;972710,00;934857,52;863657,41;854285,15;898418,41;1058405,80;941130,35;1033928,23;1035365,35;1091387,53;1246628,27;1250745,11;1357974,48;1079034,88;1423408,04;1352725,64;1129503,66;1324865,82;1021598,23;1223830,16;907708,89;830376,87;1186604,82;1137747,78;1198130,63;937365,57;1059145,67;1148945,85;1032482,18;1056999,62;1063278,22;892292,13;997242,66;930364,68;914846,58;1026736,89;1167739,78;1053713,60;964370,38;1019203,36;1017819,96;801052,39;916520,50;1007857,99;861361,35;1011637,55;1093498,98;1004689,79;1134456,63;1110682,75;1300207,09;1187156,60;1090875,67;1101634,85;822680,04;1022278,76;1024267,01;945803,98;983384,35;955612,30;993228,52;802908,81;679454,87;762346,56;1062553,39;854415,72;783416,73;699072,22;820017,52;714309,61;816602,86;892735,61;853949,97;853773,24;1067925,26;815256,28;905872,21;1037735,22;912012,07;882964,10;863641,60;827298,07;998055,63;956207,74;872499,67;862928,68;743014,85;902836,31;740548,95;342867,97;92898448,25
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1228,74;1313,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;931,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;653,29;775,53;-;-;-;-;998,20;35895,64;56434,63;205883,55;741493,60;2747049,93;6419915,00;4010101,25;4326418,43;4533087,12;4441309,75;4633574,95;4679940,53;4828074,29;4860031,50;5010876,79;5077944,04;4325118,41;4616654,11;4473194,10;5505840,73;5064877,50;5396061,58;5303872,09;4989346,57;5150511,31;5059143,92;4980223,99;4865093,50;4216890,30;4882849,43;4485901,33;5593713,43;5059413,75;5408533,74;5087182,24;5200341,74;5403373,54;4631608,19;4708176,76;4713023,21;4173486,38;4857998,56;4880193,16;5185848,72;4961565,71;5062176,91;5104503,04;5148110,04;5366267,33;4941727,75;4711253,05;4805348,46;4061765,64;4976178,86;4224877,52;5179290,46;4712249,33;5071215,83;4353678,51;4788257,65;4748231,82;3981039,14;4301784,38;4301283,87;3693854,28;5143389,71;4589694,50;4912366,14;5444524,23;5423174,03;5201192,78;5207148,51;5078159,15;5208822,54;5534751,43;4968363,74;4454560,80;4952490,98;4907665,81;5104492,64;5339111,66;5530355,85;5472125,09;5554955,52;5638036,77;5806414,79;5795861,89;5350625,53;4183608,26;4875653,24;4428370,32;5838154,63;5271144,97;5664794,79;5008458,17;5630875,10;5103556,22;3669874,99;1901595,35;465521433,89
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;545,15;4408,27;4176,28;123897,37;683265,18;1557017,00;3468472,92;3327403,46;3421694,99;3297218,48;3580989,17;3571425,52;3769623,99;3681428,91;3929176,75;3905665,80;3537618,36;3444534,93;4144030,99;3722316,54;4621829,70;4129878,57;4210305,19;4075529,10;4342542,46;4252533,38;3917621,55;4328579,35;3877907,14;3415988,74;3715690,83;3721277,99;4396304,76;3900268,09;3976872,83;3754238,65;3628697,59;4214870,18;3925922,44;3751144,36;4009284,24;3627821,92;3988595,44;4111253,60;4054291,19;4005476,35;4395823,76;4161348,56;3839302,75;3967848,62;4238647,85;3995405,80;4239296,70;3793979,82;4285944,88;3868259,82;4455895,54;3938212,73;4682641,20;4181209,45;4294683,49;4387489,55;4054644,24;4223907,65;4131895,95;3674524,74;4449672,77;3864679,54;4695580,23;4844134,37;4480881,48;4699849,90;4541449,67;4324935,75;4290123,95;4450149,42;3955579,98;3357772,39;3911175,01;4009720,83;3980474,66;3829858,96;4058403,34;3928490,82;4145692,61;4344783,10;4062913,37;3966828,08;4020464,57;3707938,93;3649527,18;3478810,48;4076732,43;3665574,88;3671133,58;4009849,37;3842327,97;3464609,53;3141352,08;1853065,98;374715136,01
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1309,80;-;-;-;-;-;-;-;-;1401,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;887,28;-;-;-;-;3698,69;193164,19;241069,57;713754,35;2052721,11;4720668,90;17966888,33;13877457,63;14990096,08;15571659,23;15391282,19;14651870,20;14907317,92;14747341,45;15156990,95;15501534,47;14817343,59;14737693,31;16049977,88;14245362,69;17731647,21;17061336,74;16837874,49;16365510,27;16659157,35;17135056,26;16299801,25;16314984,11;15535763,50;15136272,43;16016771,54;14271520,77;17353193,83;16263327,08;17363123,08;16019304,05;16979478,22;16734420,61;16100293,83;16047006,11;15540440,84;14915039,95;16542091,19;16048583,43;17290545,05;16173313,93;16577471,80;16023658,23;15863839,71;17123963,08;16444809,53;17029442,08;16055897,17;15516479,10;17345643,41;15047180,69;17089036,63;18439904,57;18014069,63;15943617,08;16507983,02;17168522,70;15904646,29;16209166,33;15602467,92;14685530,38;16978012,40;15601506,82;17476535,07;18535950,50;19086419,25;17460648,10;19065842,78;18787697,82;18688997,04;19328668,24;17624321,35;16087865,09;18837088,73;17464838,26;18234356,32;19094727,00;19731819,34;18468565,67;19599245,48;19495535,20;19144250,91;19543445,94;18505759,85;17408592,97;18354064,24;16995561,38;20193298,89;19525391,99;19123012,58;18768942,06;18579152,26;16449734,71;12931051,99;7448804,33;1582490382,30
