 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Regime: Público
Período:Jan/2008-Set/2021
"Unidade da Federação";"2000/Jan";"2000/Fev";"2000/Abr";"2000/Mai";"2000/Jul";"2000/Ago";"2000/Set";"2000/Nov";"2001/Jan";"2001/Abr";"2001/Mai";"2001/Jul";"2003/Jan";"2003/Mar";"2004/Jan";"2004/Mar";"2004/Jul";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Set";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;604,33;-;-;-;-;-;3488,18;14628,36;132431,37;337561,99;665749,02;1751292,13;1845902,55;1909987,83;2075885,26;2209071,76;2507082,98;2856311,36;2768482,50;2697823,21;2734281,81;2637923,97;2592270,67;3124521,43;2948208,23;4017553,38;3874616,52;3739584,54;3195471,62;3527757,74;3570746,01;3465116,28;3610734,95;3416126,45;3468002,20;3577823,07;3507859,34;4083187,18;4003091,39;4076748,50;3691725,98;4023972,25;3824419,90;4085979,12;3975392,46;3860069,97;3827146,39;3654660,05;3727301,22;4143291,03;4479942,19;4175569,50;4161936,80;3833704,63;4159332,16;3669774,90;3877434,12;3836930,96;3584380,62;4003697,87;3883584,27;4382720,17;4152901,71;4052972,50;3905574,65;3723706,47;3871597,29;3615987,04;3775555,59;3699251,74;3616001,54;4055752,99;3990601,99;5010722,41;4875594,98;4713194,51;4426364,73;5112121,03;5370554,99;5705469,83;5773162,19;6075949,84;5609717,60;5726430,94;5555300,19;6045493,18;6012225,60;6835086,50;6268809,56;6390353,95;6236518,85;6401081,05;6251352,03;6230737,30;6093001,19;6165370,28;5685514,39;6775078,33;6304501,30;6848617,13;6381166,98;6387674,09;5923042,94;4715440,37;2279821,56;404456268,00
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1099,17;-;3542,27;8454,98;81639,51;283620,74;683401,90;1237524,41;1264626,49;1435278,41;1541406,42;1598323,69;1555968,47;1385600,48;1332363,53;1519546,77;1682675,57;1590236,34;1636622,27;1560995,04;1540039,83;1840173,40;1796174,31;1976815,53;1599923,28;1529076,91;1286878,54;1192405,54;1764441,58;1899137,39;1735004,16;1811837,90;1593470,45;1696124,11;2025575,25;2011381,36;1796169,86;1812507,71;1834695,57;1948619,31;2078500,74;1996994,31;2044961,33;2282559,44;2061739,49;2228330,84;2100044,30;2334255,26;2081720,90;2244985,52;2275620,16;2238075,04;2210959,25;2108068,78;2150843,82;2250508,00;1939806,43;2447708,03;2180896,98;2216754,59;2239294,88;2509458,53;2217953,85;2487495,14;2330365,96;2191384,09;2038216,50;2137451,50;2013720,59;2236602,93;2260305,57;2235301,12;2152751,74;2427855,52;2246034,94;2283924,24;2568094,86;2240045,61;2111890,65;2325953,18;2101835,91;2400174,77;2547167,72;2450526,55;2567228,79;2451265,89;2615444,40;2082510,22;2548408,08;2671988,69;2398343,55;2645219,16;2444985,75;2525021,62;2655979,61;2713977,90;2894618,44;2513328,19;2216688,33;1763914,85;994151,98;194023593,46
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1134,83;951,89;-;531,94;-;-;212,75;2882,71;8176,26;305270,58;1761853,04;5189262,92;10327281,09;6964244,95;7460956,14;7307353,01;8004942,93;7695552,01;7750997,98;7437571,16;7046151,61;6609474,36;6501969,70;6597450,01;7316456,22;6883566,59;7731738,84;7394043,55;7702080,63;8218153,46;8322637,38;8259185,75;7876777,91;7500344,41;7656886,49;7520562,49;8349231,46;7264931,55;8921229,24;8769892,01;8440697,86;8170178,00;8395732,62;8424194,09;8483734,20;8780686,06;8361093,69;8167471,38;8779766,50;8228145,94;9693446,00;9367248,63;8888559,39;9023677,56;8631962,34;8765314,74;8417845,52;9292801,29;9492825,46;7682765,77;8499522,30;7728948,42;9905928,27;9362514,43;10298100,38;9439770,45;9611112,57;9461155,84;8496200,80;8975369,16;8835991,80;7941430,61;9771580,12;8283416,76;9157646,45;9146945,67;9799591,69;9264211,84;8886614,20;9017067,13;9107146,50;9145136,53;8843018,64;8045355,41;8405613,84;7499136,04;8691462,48;8903107,99;8452115,59;8697459,28;8961217,28;8865464,10;9480194,60;9888677,35;9287378,14;9342379,57;10346408,61;9790935,69;11367535,67;11264580,97;11069098,79;11496115,18;11401774,58;10731098,16;7448176,25;3169302,69;817733095,71
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;413,69;-;4785,91;11858,63;43852,67;369328,51;470676,43;808448,39;771687,83;876091,18;896952,53;1027288,73;938293,54;1004340,44;1045291,11;1003740,89;1055063,43;1223200,73;1236529,18;1186281,36;1106225,18;1422690,18;1377859,19;1363883,01;1346660,89;1371019,37;1529696,18;1573418,68;1517391,92;1597811,24;1536941,82;1617781,76;1452295,35;1817004,16;1715762,10;1933733,03;1849065,95;1877204,62;2046063,98;1939488,67;1757675,71;1528245,34;1485166,60;1604886,45;1220176,72;1276120,86;1379942,19;1679122,67;1770324,67;1646157,39;1656379,50;1802450,34;1856131,44;1655521,98;1620351,06;1605536,38;1625159,47;1768605,61;1589072,69;1982657,11;1782557,43;1743562,81;1822724,18;1637458,04;1374247,23;1613270,45;1586569,21;1712994,69;1483195,30;1783411,48;1713083,73;1724464,55;1965346,91;1835094,30;1816091,81;1741449,49;1779522,80;1698450,51;1739855,56;1649617,13;1444697,49;1828395,54;1743474,24;1939379,14;1778530,78;1823403,51;1747774,43;1829305,24;1729649,82;1871178,67;1869142,14;1887718,26;1597471,04;1745134,84;1870207,47;1942169,09;2124923,48;2062403,15;1265783,90;745954,68;303071,43;147828542,59
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1260,10;-;-;-;-;-;4994,86;1887,61;-;-;-;399,57;9487,90;106661,92;242035,63;998634,61;2558719,80;6034198,04;9649156,27;9196773,50;10208381,62;10521778,49;10616629,28;10815934,93;10074491,58;10495595,12;10782917,25;11022984,44;11891014,58;11826944,52;12629813,98;11771665,09;14482490,37;13877776,25;13321680,15;13317813,85;13469924,38;13925331,53;13497746,37;14252784,07;13570101,81;13269704,69;13553684,83;13069364,61;14972960,44;13785565,63;14676269,27;14243955,60;13978816,43;14640463,95;14713238,98;14602296,50;14367392,53;14222418,31;15501546,75;14193668,59;16030072,58;15171763,36;15295020,58;14657817,73;14737623,57;15303070,14;15657067,37;15559930,42;15482238,42;15327817,69;15479696,74;14669535,99;16488228,05;15168642,94;16265360,10;14273507,34;13673583,33;13720546,10;15017598,70;14822381,55;14175053,56;13563122,43;15828669,12;14724247,39;16854772,85;17394276,89;17577836,16;16450741,48;16929989,95;17005690,69;16598576,15;16645445,15;16145527,97;15276198,21;17727126,64;16521602,72;17511107,22;17454532,51;17563938,41;17049881,12;17722989,11;17696187,25;17818780,61;17632799,97;18061307,84;17081661,97;17994675,71;16327072,25;19280484,06;18189153,60;19530283,72;18014234,75;17318686,23;14313711,01;11118821,30;6541628,38;1395411673,66
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1647,39;7754,72;12695,61;33672,74;91067,51;101961,56;190976,54;518502,97;972126,72;857866,91;826984,33;952171,92;991346,16;995987,63;1031293,66;1088802,53;1046083,39;1171379,06;1165284,13;1225306,86;1256237,74;1099874,71;1313707,65;1346393,67;1396605,86;1329163,86;1229660,04;1382222,03;1335824,56;1274560,00;1190826,30;1147887,69;1287710,13;1109304,88;1284432,34;1364371,22;1285151,50;1353098,27;1315558,49;1392745,79;1287945,95;1180178,34;1089759,99;1121511,59;1243744,86;1115551,07;1345657,36;1391782,06;1423764,99;1189953,27;1221861,83;1238007,58;1312549,98;1319650,35;1248868,37;1186780,05;1259099,86;1226500,40;1315459,08;1344162,65;1424496,85;1252540,32;1396836,23;1382853,61;1326829,00;1362948,95;1285754,94;1188825,03;1389431,22;1314307,19;1419209,06;1545837,57;1468765,38;1430796,79;1337349,66;1412691,90;1424868,63;1588412,08;1423028,78;1318342,28;1436047,97;1301446,19;1408395,51;1499757,46;1337459,00;1207230,10;1364760,34;1386752,52;1386865,99;1315783,37;1214083,22;1049053,55;1186076,11;1084630,14;1330673,44;1353819,58;1416969,49;1475762,08;1339975,63;1314389,21;1178278,61;625770,42;119949144,10
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;578,69;-;-;-;34446,08;586,69;3389,69;70492,74;338092,38;965729,54;2641714,86;3755770,48;4140725,69;4352167,14;4417170,03;4371777,99;4463555,57;4197804,20;4359005,23;4302982,53;4954665,64;4263984,02;4580990,67;4987072,19;4892822,18;5394336,35;5210300,07;5264423,36;5223567,83;4907086,76;5304291,11;5150320,14;5312309,73;5430879,87;5067051,68;5347921,36;4941871,18;5935123,10;5678197,15;5854327,64;5416876,39;5813453,90;5858029,86;5649469,74;5748281,07;5511697,14;5493865,86;5944626,59;5668716,97;6498859,38;6025959,41;6180232,34;6141987,39;5727971,72;6335360,29;5983835,81;6361989,88;6470911,62;5911079,73;6050267,89;5849668,15;6869143,56;6564879,24;6739087,87;5919011,51;6009549,21;6346804,80;5974660,33;6152310,35;6236748,03;6103896,60;6125459,89;5921593,86;6947403,79;6887585,07;6992305,56;6536815,94;6293930,94;6520373,14;6521269,83;6747594,59;6383251,49;6102918,98;6325637,38;5977995,21;6399414,03;6700930,55;7084115,47;6600101,39;6598867,10;6856063,79;6742022,30;7160917,68;6045891,38;6208464,76;5645913,13;5323510,05;5989936,38;6133361,63;5924939,01;6191530,14;5800203,29;3828869,19;2434804,21;1160392,80;538791148,14
"21 Maranhão";-;-;-;276,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2113,79;2095,60;-;295,36;7090,58;-;41362,59;349434,54;961918,30;2071834,23;3592974,63;6085464,92;15089343,61;9442162,68;10424476,90;10615324,03;10058036,44;9878468,92;9856759,67;9781798,28;10457850,35;10606822,80;10566029,82;10319410,06;11892520,27;10845424,73;13486663,17;12882933,63;12877978,46;12753830,20;12929639,25;13415823,70;13643431,96;14034854,20;13425488,16;13341846,58;14399244,13;13083200,19;15722376,60;14745133,49;15237691,73;14800042,66;15072462,49;15100960,86;15370658,59;14968083,42;14467995,59;14199284,38;15700877,43;15097436,59;15866113,83;15466294,12;15332068,47;14547450,60;14848590,64;16214436,33;15304066,67;15622515,59;15836217,19;15980286,54;16691663,82;15618309,88;17132024,87;17224460,81;18794264,01;17123372,70;17428777,13;18235118,57;17318524,32;16676339,66;15097833,53;14940309,47;19785445,14;16761482,51;19072646,85;19078597,97;19519397,34;18722414,45;19050863,32;19612786,31;19619135,45;20325657,53;19050657,99;18601021,56;20538555,11;18671575,95;21159806,03;20669888,32;20688498,13;19216559,92;20643837,42;20541491,90;20245553,73;20280205,20;19542648,79;18701150,59;18934945,56;18570193,66;22148603,82;22117518,29;21779552,54;20121119,62;20665314,67;18844873,63;15328410,59;9173869,83;1518790545,68
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;162,01;-;-;428,77;-;11627,57;216379,98;349292,39;954285,31;1722770,14;3372755,93;7906946,45;6384276,74;7006496,10;6930724,52;6981159,49;6893663,41;6848455,71;6964488,61;7108763,80;7237709,91;7045431,30;6707203,53;8267925,67;7173880,73;9132544,74;8440699,56;8726114,79;8130311,61;8540870,32;8625158,57;8481222,73;8212937,32;8544022,75;7682218,27;8838669,36;7676789,84;9209781,12;8252649,40;9100143,72;8308035,08;8157401,97;8083021,52;8071015,83;8520033,45;7677099,09;7784925,97;10002594,00;8154503,49;9133360,54;8562802,85;8279381,35;7998728,30;8079764,55;8191275,89;8238203,78;8208089,71;7921692,66;7749199,51;8502818,33;7742841,77;8288086,64;8245135,01;8959274,92;8332165,24;8946418,15;8850196,08;8866248,19;8741104,03;7967641,14;8219045,54;8958097,35;8187171,44;9255693,49;10315081,90;10148051,30;10100453,91;9832768,54;9662788,75;9557791,81;9624326,28;9213234,96;8838035,76;10024197,03;9324073,81;9961914,34;10103545,58;10358481,86;9787331,27;10318125,84;10185823,92;10369107,80;10129529,46;9845425,47;9280822,17;9809221,70;9071159,88;10779920,60;10989919,16;10969592,60;10230596,96;10008816,21;9765502,66;8017321,57;4399392,19;819885584,19
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;726,49;-;-;-;-;-;841,93;-;-;-;-;-;-;-;-;-;-;149,65;2299,05;-;-;-;-;-;164740,46;331286,61;1151311,36;3079093,28;6077373,96;14477440,21;13765847,23;15095274,14;15804561,77;15798622,43;14812094,91;15395374,07;14557480,06;15274452,81;16225617,64;15564369,68;15366038,72;16073087,28;14630115,84;18287179,11;18384269,16;18056142,33;17033835,07;17800638,97;16994831,11;17110550,53;17428145,14;16749819,17;16845168,30;17985191,08;16459162,44;18756136,34;17876246,85;19475491,18;17467075,44;17340976,04;18799393,21;17933868,67;18045118,59;17267308,99;18293804,55;18095680,68;18600806,13;20367467,16;19510073,37;20682574,75;19843669,81;19314377,12;20240717,15;18794260,82;19918518,99;18746827,68;17561170,82;18751213,75;17095446,54;19242625,73;19295581,31;20648341,29;19719544,41;19426813,15;20142963,70;18945515,79;20754909,04;18814064,26;17976507,72;21371068,62;20109428,89;20337471,63;23291439,87;23986402,10;20733405,34;22035263,25;23737762,07;23803884,16;22753673,18;22180042,65;22701103,46;24568992,26;22905721,08;24760753,80;24396665,46;25644122,68;25110325,37;24856129,89;24059147,06;23880435,00;24009098,71;22641286,78;23130538,90;22620419,40;22534126,84;24870034,67;24608584,54;23877244,86;25024092,87;24298613,23;21200252,02;14944981,92;5871474,13;1843382209,71
