 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Regime: Privado
Período:Jan/2008-Set/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"Total"
"11 Rondônia";-;-;-;-;-;-;-;1;3;2;21;109;204;234;129;168;161;244;233;393;310;284;269;106;47;235;310;306;417;393;408;433;423;445;470;315;327;387;482;493;592;615;599;597;529;505;505;314;406;512;446;497;493;399;369;588;511;464;465;343;394;485;360;389;467;527;458;438;375;446;361;228;280;254;334;358;325;298;296;387;366;332;326;315;295;331;398;397;414;467;516;489;472;526;481;404;356;455;518;502;510;570;498;472;372;179;36932
"12 Acre";1;-;-;-;-;-;-;3;2;3;17;78;812;823;954;919;941;894;924;882;874;778;750;825;824;823;916;842;854;810;786;677;152;784;714;724;834;712;1312;809;783;727;675;871;814;757;663;658;702;618;784;790;911;750;778;746;753;716;803;752;743;636;746;682;687;705;627;728;747;840;802;755;766;802;758;837;791;752;740;883;769;703;670;705;666;701;728;769;815;739;688;528;656;662;609;574;508;538;622;521;433;402;415;445;444;393;68834
"13 Amazonas";-;-;-;-;-;-;-;51;50;112;169;749;1128;1100;1243;1172;922;1011;1087;1102;1144;1074;1042;900;856;856;1076;736;696;764;843;961;994;949;814;788;658;717;978;848;778;552;468;656;579;642;503;423;489;452;507;473;611;497;539;838;696;707;757;552;747;537;638;591;609;605;622;642;533;579;595;566;646;526;500;598;591;551;613;690;615;694;661;693;667;523;649;703;847;704;833;783;818;750;787;706;753;727;829;825;847;832;740;705;639;260;69878
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;139;131;129;123;117;130;107;122;135;134;129;112;94;71;-;1707
"15 Pará";-;1;-;-;1;-;-;210;473;1854;4952;13738;24230;21520;22885;24386;24625;23709;23385;23464;24126;22978;21552;21350;23391;20817;24965;24204;23158;22803;22880;23796;23560;23030;22910;21331;22523;21914;24345;22819;24016;22111;21201;23136;21914;20813;21239;21041;21338;20669;23202;20574;21400;19695;17723;20112;19391;19140;19605;18510;19986;18355;21347;20228;20008;18038;17228;18725;18739;19029;18685;17209;18690;16724;19037;19790;18775;17547;16458;17453;18293;18413;17666;17225;18042;17434;18844;18707;18537;16385;17383;16622;17144;16573;16091;14996;14986;13893;17306;16331;16025;15279;14574;14781;13153;7215;1878664
"16 Amapá";-;-;-;-;-;-;-;-;2;5;31;418;472;512;508;568;533;566;409;592;591;585;558;526;464;504;537;563;569;480;588;549;590;564;504;514;513;484;669;567;568;550;616;623;587;543;547;460;570;522;636;615;493;528;590;615;578;542;570;472;518;498;549;477;531;523;580;569;582;590;520;510;553;498;546;603;591;534;571;574;533;640;549;517;492;469;530;517;498;518;452;504;444;573;412;399;406;373;465;441;450;433;467;473;287;11;49530
"17 Tocantins";-;-;-;-;-;-;-;1;6;8;68;383;1096;867;875;902;925;874;802;923;851;904;832;902;914;847;969;938;971;838;902;869;890;896;625;700;622;562;698;727;692;642;656;654;694;692;677;603;636;611;721;726;758;764;667;694;659;639;682;687;671;666;733;766;745;713;753;756;675;765;673;702;692;638;711;709;734;657;632;688;790;699;628;601;645;573;699;716;682;648;793;675;713;753;690;705;694;627;668;660;700;660;613;660;629;421;69162
"21 Maranhão";1;2;-;-;-;-;-;61;98;382;1158;3874;7363;7231;7698;8071;7830;7943;8205;8351;8749;8166;8156;7083;7691;7251;8846;7903;8386;7896;7912;7726;7761;7447;6977;6408;7187;6857;7873;7351;7704;7708;7529;7943;7250;7262;6877;6118;7306;7159;7788;7075;7391;7312;7395;7323;7032;6829;7002;6191;6567;5874;6913;6074;6446;5560;6172;6129;5517;5745;5580;4960;5330;4980;5312;5372;5339;4872;5195;5268;5314;5576;5204;4790;5083;4881;5394;5374;5558;5292;5533;5673;5997;5628;5309;4425;4631;4290;5430;4923;5210;4981;5221;5321;4864;3207;612402
"22 Piauí";-;-;-;-;-;-;1;10;9;144;466;1456;5036;4811;5240;5122;5003;4982;5311;5065;5349;5283;4784;4682;5114;4610;5885;5416;5397;5459;5398;5330;5030;4994;5078;4523;5117;4858;5725;5155;5173;4850;4852;5298;4937;4821;4911;4511;5351;5246;5149;4907;5200;4843;4668;4827;4698;4714;4834;4402;4804;4243;4924;4631;5206;4451;4533;4625;4337;4319;4457;4029;4772;4049;4437;4724;4656;4270;4437;4076;4093;3954;3680;3447;3886;3642;3949;3840;4194;3721;3796;3594;3805;3816;3565;3304;3472;3118;3804;3798;3436;3186;3248;3066;2877;2180;426486
"23 Ceará";-;-;-;-;-;-;5;307;329;842;2345;6628;22249;21444;22772;23646;23399;21489;21746;20541;21234;21244;19705;19046;20557;19075;23869;22878;22070;21376;21900;21191;20324;20287;19717;19081;20300;18599;21978;20462;21567;20521;20744;21026;20564;20173;19744;18875;20997;20345;21682;20401;20729;19789;19642;21081;19788;20248;19424;19145;20148;18397;21485;20408;21451;19024;20150;20237;19311;19588;18780;17196;18659;17191;19354;20655;20646;18105;19294;18932;18788;19247;18351;17117;19476;18031;19205;19927;20704;18795;19265;18921;19167;19211;17940;17296;17672;15996;20439;20180;19932;19000;18854;17553;15226;10417;1874841
