 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Natureza jurídica: 201-1 Empresa Pública, 203-8 Sociedade de Economia Mista, 204-6 Sociedade Anônima Aberta, 205-4 Sociedade Anônima Fechada, 206-2 Sociedade Empresária Limitada, 207-0 Sociedade Empresária em Nome Coletivo, 208-9 Sociedade Empresária em Comandita Simples, 209-7 Sociedade Empresária em Comandita por Ações, 212-7 Sociedade em Conta de Participação, 213-5 Empresário (Individual), 214-3 Cooperativa, 215-1 Consórcio de Sociedades, 216-0 Grupo de Sociedades, 217-8 Estabelecimento, no Brasil, de Sociedade Estrangeira, 219-4 Estabelecimento, no Brasil, de Empresa Binacional Argentino-Brasileira, 221-6 Empresa Domiciliada no Exterior, 222-4 Clube/Fundo de Investimento, 223-2 Sociedade Simples Pura, 224-0 Sociedade Simples Limitada, 225-9 Sociedade Simples em Nome Coletivo, 226-7 Sociedade Simples em Comandita Simples, 227-5 Empresa Binacional, 228-3 Consórcio de Empregadores, 229-1 Consórcio Simples, 230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária), 231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples), 232-1 Sociedade Unipessoal de Advogados, 233-0 Cooperativas de Consumo
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;685,42;97124,54;244018,40;225237,19;203037,47;247836,75;312423,86;281238,31;262060,80;307440,34;277681,80;326807,50;346268,47;302178,73;349377,34;284607,77;355559,57;514051,40;375111,51;475016,75;430986,67;510333,75;357804,90;507273,60;389361,43;534296,76;425958,01;491955,53;456736,20;425660,75;591435,83;504070,41;467368,39;425980,47;720072,24;456842,47;539081,61;525295,34;604090,79;618890,09;611817,56;319449,35;464249,59;586309,42;728525,91;633011,83;318394,89;749187,17;718029,83;731035,70;686752,01;796982,83;805832,21;648582,49;693255,68;678113,47;634105,94;720835,12;600747,98;758585,30;739174,22;657543,41;758575,60;772176,36;701044,17;714303,66;584112,03;675569,89;741006,13;741914,86;580225,61;737971,93;732692,49;692292,98;636435,35;805225,60;673921,40;703153,93;727263,25;704274,35;747668,58;780103,42;718965,81;819699,06;726453,94;900747,93;861201,78;843563,45;777303,57;918837,87;850336,77;997048,37;964239,70;979485,01;953114,34;907250,47;994687,68;1042839,69;2040181,44;1665557,83;1550526,44;960119,65;868766,66;1273315,56;1076694,79;945447,78;768401,56;3004998,49;2325899,08;3315293,11;1964975,58;1346247,03;1138050,23;229541,77;82991505,10
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1575,72;-;-;29236,38;302736,42;166554,50;204395,89;223738,10;156937,91;184470,33;107765,69;98640,71;127408,74;244449,30;66131,23;41901,26;85093,63;125190,04;378315,32;176887,31;87787,76;82522,76;72441,10;40731,74;114127,88;54876,82;58707,76;103162,46;295737,65;70062,40;107976,76;120447,80;76826,24;62840,73;62225,21;64624,20;54288,98;116439,87;246792,21;196310,45;107451,14;135741,55;118547,69;110448,42;122425,68;129195,30;115193,09;108446,61;531975,29;559626,79;382719,94;398775,82;142576,09;122064,52;120140,19;143536,84;141633,64;155236,94;242525,12;116864,38;121214,72;114857,80;118954,83;120293,11;117107,96;112543,44;112225,09;116749,64;118158,82;115676,46;127174,78;128717,44;122677,37;122296,29;54306,70;130129,92;133497,36;132391,43;136990,81;134084,29;127783,74;137885,97;130988,23;131883,39;116519,00;128553,91;121022,38;124966,27;123499,11;85436,32;125636,62;45835,65;135639,88;165408,97;385900,92;540413,08;516174,45;459077,95;365638,74;340031,42;404386,03;544510,40;476726,73;512984,01;578858,49;427243,71;325365,21;501976,15;1518929,65;1007043,82;806991,05;678557,52;633209,26;846174,73;586907,09;254636,27;25618328,68
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15918,43;70228,74;61619,74;62726,93;58016,20;58310,29;64961,23;52671,97;61595,45;68542,23;60070,38;66119,70;58759,50;55993,23;54916,61;57993,78;57950,53;63537,44;60565,35;57960,34;62822,30;53827,43;63923,06;70062,46;65532,95;85139,81;91212,13;79569,36;77754,59;53019,42;64666,78;71842,54;74672,71;64456,59;75889,99;91124,62;80997,07;84529,17;57559,93;75955,25;73779,25;83222,71;85534,76;62214,73;79921,84;68984,97;81953,86;74146,64;74934,34;73935,74;59993,43;77602,47;68257,12;50122,78;79498,26;78483,71;74386,68;73916,69;67337,63;72156,18;67446,54;11455,86;42019,59;66421,27;92079,20;86111,47;97078,23;53550,75;38630,29;46407,75;42513,17;27468,58;43479,42;81861,73;56345,69;34476,99;4219,55;20472,59;69050,50;65272,35;98436,77;90295,13;74815,84;66239,27;53967,79;42918,62;-;5546434,96
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9250,81;17084,63;485188,21;1353132,58;4270598,73;6372796,87;6022362,90;6639728,59;6485082,93;6709969,65;6452145,05;5956819,03;6741820,52;5949057,87;6807917,43;7200219,89;6764478,42;6725714,30;6133108,73;6218754,62;6731522,86;7209260,55;6864061,74;6992006,49;6834007,54;5927537,04;6425023,21;5791692,16;5418660,55;4858450,19;5241971,41;4902510,90;5070599,18;4840661,37;4960697,04;4643295,90;4025951,43;4039565,07;4994621,07;4766861,56;4654397,58;4329440,43;4332658,81;4180614,81;4461708,15;4449291,32;4341215,68;3797440,89;3974261,62;4116278,68;4666305,48;4171085,76;4133678,13;4105019,69;3742392,03;4129838,13;4161343,46;3961231,27;3975944,31;3617808,00;3753410,56;3426447,83;4116814,00;3635640,95;3658180,44;3768929,08;3382211,67;3809759,36;3689823,12;4166228,92;4082166,10;3685141,60;3877791,93;3499154,68;4128346,59;4412285,53;4226562,18;4255162,98;4435006,80;4252849,82;3999588,50;5056328,04;3764877,18;3607692,87;3808682,72;3536380,47;4003470,52;4275053,10;4387169,83;4037965,55;3943351,04;3781490,67;3614605,16;3665598,27;3708642,97;3513988,85;3687407,13;3763986,65;4296451,41;3225164,15;3811278,71;3554904,49;3466204,66;3467392,29;3383149,31;3608461,60;3736260,40;3327052,90;2920542,88;2772830,44;3343207,64;3667452,00;4044862,14;3616750,80;3103944,19;1971819,84;753786,57;507645853,33
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16649,93;-;-;-;-;-;-;-;198,80;-;-;-;-;11978,01;-;-;17842,76;2832,97;46719,21;9194,73;4671,92;40456,84;22017,65;25546,44;64363,10;75545,84;140207,14;205812,59;237770,46;253525,92;153477,08;114213,24;-;150495,10;168089,22;127930,79;114362,28;93587,17;-;-;13618,07;1640,13;596,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18376,75;62425,35;53325,44;54108,10;49020,84;43097,82;41233,38;42277,82;40171,03;55998,36;47877,38;55749,60;56587,94;70774,91;47785,05;50233,12;45634,75;55809,41;45419,82;59588,32;57291,78;54360,60;57749,97;63279,61;63267,48;68933,18;42513,70;43583,15;51342,26;38760,73;54447,07;43177,65;58554,23;63871,01;67050,35;63143,27;64189,75;74533,51;38596,22;30243,07;66705,79;62859,48;58173,76;59724,80;48930,95;59273,33;51096,98;42548,49;50678,56;87882,65;74729,12;76256,39;332831,66;171777,59;94601,30;50100,31;146395,46;296218,31;473560,70;364251,18;369817,44;417237,68;339096,87;187245,51;103332,87;-;8293054,76
"21 Maranhão";498995,19;-;-;-;-;-;-;-;-;-;-;-;-;9416,44;9416,44;-;9416,44;28172,14;-;-;-;63174,16;-;-;6406,26;-;37627,17;9416,44;16736,28;1271,11;50516,89;-;-;2542,22;-;-;-;-;-;56484,88;-;9416,44;6092,68;81857,64;15725,84;34995,38;21237,52;93261,63;169117,34;221504,32;443360,09;674638,36;1231373,82;1957935,74;2290165,66;2167912,45;1740802,11;1937226,54;2119584,76;1797229,19;2448985,57;2277087,17;2052933,49;2252556,45;2319712,27;2227434,33;1996007,62;2006198,48;2153776,20;2084185,89;2134885,67;2064873,00;2113450,34;2092374,51;2203589,85;2269630,46;2400794,75;2243728,47;2344774,87;2369661,29;2548982,31;2508583,42;2281136,64;1950535,61;2062217,25;1922567,20;2303584,98;2152542,64;2324501,78;2072848,80;2226549,33;2194053,64;2243435,49;2113641,54;2059959,87;2088356,73;2187383,36;2017103,32;2268184,93;2196494,17;2378742,59;2277637,55;2146356,61;2310013,23;2223413,70;2181123,62;2091803,88;1886229,83;2121530,22;1905047,01;2147395,30;1872191,00;2186901,02;2025151,62;1972394,75;1965912,03;2053454,51;2326462,43;2022343,31;1899163,88;2034739,01;1903601,60;2033757,48;2207495,38;1997764,11;1868040,49;2441535,75;2153184,22;2330153,30;2389804,17;2186167,34;1913212,27;2570823,51;2430899,43;2525673,41;2697990,77;3528324,21;3872057,14;4526798,54;5262092,30;5288223,58;5350847,92;4861076,86;4732095,38;4712967,52;4660863,08;4630833,12;4408434,32;6370759,25;6499608,13;6173727,38;5382025,60;5866077,55;5866482,38;5432287,92;5529427,98;4674260,49;5418867,80;8356445,51;9333564,17;10718930,98;9133679,86;5043338,34;3925180,14;1520999,18;344350720,22
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204,50;6123,62;62095,94;577615,28;2284692,29;2446194,59;2434902,67;2460447,93;2533467,02;2376987,98;2020184,79;2376661,37;2160481,87;2445989,12;2629287,14;2450180,10;2534578,48;2441595,37;2010218,48;1797163,44;2180676,06;1780488,67;1537128,49;1830604,31;1763219,08;1819009,26;1796097,18;1844403,77;1790394,28;1876411,22;2311013,45;2075580,89;2056329,80;1998039,83;2007089,99;2050009,75;1955466,31;2342764,70;2093465,45;1981645,08;2205342,46;2031543,99;1992679,62;1969883,89;1996976,14;2067319,53;2009191,60;1861218,83;2166328,99;2056798,75;2291671,91;2566980,15;2523386,70;2322986,74;2429451,71;2311527,16;2266613,80;2430226,03;2155445,84;2424776,96;2192724,54;2721785,60;2004588,87;2334385,51;2411548,26;2448083,48;2465703,08;2222063,17;2331618,94;2287857,17;2058544,35;2646032,97;2015296,69;2399445,78;2166396,35;2583781,92;2290391,27;2409541,29;2462758,06;2247052,36;2632521,88;2416178,99;2232566,56;2600746,19;2330078,33;2431931,20;2569784,55;2691091,24;2463862,92;2697223,15;2515946,03;2526767,28;3055832,31;2347062,16;2323865,26;2769325,54;2368348,55;2391540,97;1802062,71;2729072,16;2641188,43;3798039,20;3176044,62;2793757,29;2704569,84;2619705,70;2612428,24;2831711,52;2664980,96;3867353,24;3693042,27;3688623,03;4013368,90;3126546,43;2637658,51;1561357,76;266245043,93
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9024,88;20422,49;13304,27;10253,61;17353,94;40752,35;115501,56;727450,84;1909335,07;3714847,56;3667380,64;3719448,37;3449115,61;3657395,46;3484086,27;3119214,80;3897244,92;3411325,19;3235649,90;3952974,86;4283898,81;3575636,81;4199692,80;3913186,95;3933885,21;4118619,13;3771199,69;3653888,26;4476357,82;3538622,06;3809497,14;4023844,74;4066670,06;3778119,55;4268400,59;4134627,49;3810491,92;3964793,92;3826444,91;3062780,39;3740649,12;3088703,42;4004268,22;3656141,70;3409567,51;3594272,57;3783374,28;3741786,89;3446591,31;3412252,08;3177892,67;3019756,32;2861363,40;2913349,29;3849178,71;3761126,79;4073185,00;3930749,76;4257436,53;4426664,30;4056913,13;3226399,52;3405798,16;2916177,55;3038277,86;2510924,61;2385070,91;2688689,09;2230984,47;2486264,33;2892444,38;2364472,25;3141011,52;3352521,44;2969395,89;2188905,53;3170169,61;3139691,27;3026113,50;2590388,18;2828789,64;1630522,98;1722209,52;1981242,20;2319969,40;3222874,76;2742432,39;2707625,71;3330702,31;2638952,53;2398928,88;2924413,77;3000343,38;2364406,64;3254180,98;2546220,08;2789717,45;2799129,90;2585452,92;2964681,82;3279540,46;3009033,81;2462797,80;1667331,84;1423173,53;1355622,44;1791763,66;2842709,98;2933447,45;3331601,97;3379774,73;2580145,87;2477324,25;2653900,56;2391779,02;2451860,86;3035794,15;3153091,33;3249993,94;2101796,72;1327796,21;355964741,75
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40702,29;22519,43;216131,43;1795016,69;3664939,88;4416685,98;4309702,63;2380890,05;3921421,00;4078199,52;3509809,58;4052711,38;3999117,51;4518539,30;4688843,95;4571136,53;3980502,20;4917277,51;4497951,67;4421341,74;4435153,68;3170061,95;3405584,95;3451878,00;4306634,15;3840884,03;4607316,92;4715075,37;4280698,65;4723881,81;3744187,68;3776836,92;4333675,66;4350592,32;3379220,48;3844757,30;3578958,48;4497175,80;4004901,78;4732069,21;4532557,58;4890922,96;5285581,84;4737750,48;4901688,24;4596217,42;4425879,41;4330579,09;4677730,07;4831978,80;4252036,56;5708099,42;4170137,46;3994894,61;3154298,62;1663589,42;4570730,02;3834995,58;3765778,30;3667392,32;3005917,96;3952280,15;3528103,37;4113922,80;3798888,50;3887473,51;4700155,91;4353754,93;3557752,03;4179173,79;3817043,39;4432787,89;4400647,30;4708976,56;4361861,26;5335201,96;4480954,21;5180690,72;5333568,88;4040954,76;5234017,04;4427621,40;3621828,62;4956104,53;5221911,93;5259181,42;5282669,12;5208434,18;5147108,50;5473383,92;6349126,05;6300282,55;5588308,64;5017140,46;4314523,94;5940129,14;5099729,26;5502226,05;3762213,71;4088020,91;4052034,63;6131114,31;5623472,10;6529141,96;7168988,18;6911543,33;5449115,64;6055079,77;5394496,02;6208556,57;5695308,08;6555426,86;5867826,57;6001166,51;5697068,79;2740525,25;514220759,43
"25 Paraíba";353724,07;-;-;1789,24;-;-;-;-;-;15158,89;-;-;-;-;15158,89;15158,89;-;15158,89;-;15158,89;-;-;-;15158,89;30317,78;-;15158,89;30317,78;15158,89;15158,89;-;-;-;-;-;-;-;-;-;-;15158,89;-;-;6709,67;17842,77;8498,91;14264,27;51937,83;54373,20;46340,93;247764,67;452049,85;1413119,13;3313708,07;3859785,32;3796985,62;3651062,07;3030663,28;3421980,68;3037758,65;2980127,21;2964474,13;3194878,30;3533174,43;3403118,37;2779097,79;3271522,18;3114847,93;3002591,40;3275918,43;3088782,08;2827061,24;3193775,77;2862101,85;2771096,33;3243075,04;3431701,29;2982260,36;2868659,11;2651564,62;2685728,50;2829743,00;2899431,85;2536154,84;3224042,66;2617496,62;3259482,31;2827627,35;2994230,09;2825038,80;3191648,85;3077863,38;3284855,08;2929980,22;2585711,93;2411842,07;2511784,48;2106045,00;3202553,56;2835836,16;3179888,18;2955752,11;2883309,63;2655862,42;2843450,17;2645651,91;2527838,81;2272368,08;2583825,62;2181515,42;3613816,43;3183961,51;3260869,33;3188490,62;3561174,23;4150583,90;3944522,49;3879976,67;3661661,12;3376668,37;3738335,90;3943450,80;4179124,10;3761021,63;3819969,09;3993977,31;3639536,11;3971510,03;3815701,77;3692544,07;3772151,82;3293871,50;3944365,26;3978868,44;3772546,38;4168358,10;3890839,16;3573394,77;4162905,87;4164289,75;3983891,37;4465089,28;3896289,71;3695550,40;4064908,55;3333304,03;3608567,84;2780788,43;2551656,74;2879188,90;3534942,13;3199559,46;3197241,38;3652510,78;3088421,00;3149764,90;3685730,95;2986848,05;3837722,72;3669686,73;4107484,34;3605914,50;3788811,05;3127544,44;2090176,48;371079050,34
