 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Natureza jurídica: 101-5 Órgão Público do Poder Executivo Federal, 102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal, 103-1 Órgão Público do Poder Executivo Municipal, 104-0 Órgão Público do Poder Legislativo Federal, 105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal, 106-6 Órgão Público do Poder Legislativo Municipal, 107-4 Órgão Público do Poder Judiciário Federal, 108-2 Órgão Público do Poder Judiciário Estadual, 110-4 Autarquia Federal, 111-2 Autarquia Estadual ou do Distrito Federal, 112-0 Autarquia Municipal, 113-9 Fundação Pública de Direito Público Federal, 114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal, 115-5 Fundação Pública de Direito Público Municipal, 116-3 Órgão Público Autônomo Federal, 117-1 Órgão Público Autônomo Estadual ou do Distrito Federal, 118-0 Órgão Público Autônomo Municipal, 119-8 Comissão Polinacional, 120-1 Fundo Público, 121-0 Consórcio Público de Direito Público (Associação Pública), 122-8 Consórcio Público de Direito Privado, 123-6 Estado ou Distrito Federal, 124-4 Município, 125-2 Fundação Pública de Direito Privado Federal, 126-0 Fundação Pública de Direito Privado Estadual ou do Distrito Federal, 127-9 Fundação Pública de Direito Privado Municipal
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23019,62;17809,50;179490,57;502059,92;1451387,37;3680086,70;3684694,69;3856668,52;3606191,08;3760086,60;3689485,52;3608337,93;4055752,99;3990601,99;5010722,41;4875594,98;4713194,51;4426364,73;5112121,03;5370554,99;5705469,83;5773162,19;6075949,84;5609717,60;5726430,94;5555300,19;6045493,18;6012225,60;6835086,50;6268809,56;6390353,95;6236518,85;6401081,05;6251352,03;6230737,30;6093001,19;6374138,38;5685823,01;6775078,33;6562356,96;6853988,93;6641480,79;6567373,03;6376418,14;6867351,17;6924563,39;6568237,41;6509018,73;6159454,56;6185937,58;6809472,84;6811076,12;7551501,32;7378368,66;6800462,07;6869369,90;6622462,88;6977667,73;6016004,40;6269058,11;6052234,59;6278592,15;7700617,97;7121150,61;7162853,55;6989046,53;7105805,65;7294240,00;6819466,11;7634567,63;7012271,37;7125839,39;7437264,68;6860664,87;7777993,82;7355547,86;8425475,41;7206767,42;7823082,62;8022953,89;7350041,53;7328550,89;7239955,10;6756458,01;6931462,58;7203887,79;7359417,03;7619140,95;7728311,52;6925356,78;7184700,87;7182526,11;6918741,03;7218554,64;7021705,20;6807322,64;6497063,83;6701645,84;5527569,31;5867933,20;7222980,01;8155334,94;7966622,38;8261237,61;6713973,80;6364437,25;6770220,43;7427979,86;8297454,48;8995939,67;14119231,34;13295552,51;12113640,57;10115863,01;8487310,09;4953430,86;1023389,43;746842959,10
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3572,79;-;-;5023,61;53144,31;101078,65;569831,55;944382,76;1370136,14;2146901,17;2396733,95;2128364,15;2390585,32;2234268,02;2112439,50;1950566,68;2068550,64;1914819,27;2125376,10;2142530,68;2134611,70;2057515,80;2325591,85;2140549,16;2162276,51;2456749,72;2133987,45;2020980,49;2215444,80;2009206,08;2282117,45;2432604,77;2333533,55;2447243,41;2317638,96;2525694,17;2082510,22;2548408,08;2671988,69;2398343,55;2646891,72;2444985,75;2525021,62;2655979,61;2713977,90;2917760,02;2583572,87;2716371,27;2684981,33;2731513,99;2697734,82;2533322,87;2684002,74;2543014,07;2729115,52;2706970,22;2884747,00;2883000,74;3109619,89;2929425,47;2633000,74;2411226,92;2494100,92;2629918,36;2536812,94;2549251,08;2965400,71;2256903,49;2597630,47;2736274,48;2945798,08;2743420,21;2742588,98;2770814,12;2542437,49;2211388,91;2452643,19;2256438,93;2449454,82;2379670,89;2685204,55;2401404,64;2655547,11;2454119,72;2405057,20;2501563,21;1999828,88;1887221,69;2017722,04;1845593,33;1942241,06;2338620,43;2484878,59;2635296,59;2894436,74;2327429,45;2466232,93;2718189,55;2588613,54;2413356,66;2795347,59;2497086,57;2390810,87;2289626,73;2453108,41;3483010,55;3512806,01;3185531,49;2839552,93;2738605,60;2961892,34;3261147,08;3565153,59;4809969,39;5246001,66;4550187,97;3711210,01;2902897,34;1856253,80;972228,80;-;287667473,49
"13 Amazonas";903320,98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;217,85;15116,26;54596,13;421392,32;2701911,25;8287237,19;9439770,45;9611112,57;9461155,84;8496200,80;8975369,16;8835991,80;7941430,61;9771580,12;8283416,76;9157646,45;9146945,67;9799591,69;9264211,84;8886614,20;9017067,13;9107146,50;9145136,53;8843018,64;8045355,41;8405613,84;7499136,04;8691462,48;8903107,99;8452115,59;8697459,28;8961217,28;8865464,10;9480194,60;9888677,35;9287378,14;9342379,57;10347036,39;9794917,05;11367535,67;11264580,97;11070985,76;11500762,31;11470546,16;11504702,28;11093042,71;11364553,11;10305693,69;10386962,01;10411107,92;10024286,37;11347818,28;11099999,63;11894830,30;12504302,58;12437128,37;12238431,96;11333541,61;11846214,30;10527420,79;11555446,88;11918077,93;11390974,60;13141764,56;13409588,29;13570950,38;13410083,06;14097796,53;13439515,31;13681482,93;13566273,84;13212223,21;13320941,77;14230171,91;12463687,91;14425399,09;14327056,54;15046050,82;14358173,40;15213140,50;16010526,02;15019938,66;15899849,28;13906762,61;13922860,14;15005252,04;13769198,83;15766494,18;15848219,14;16204647,96;15203121,97;16385489,49;16186269,72;15104648,22;15990057,04;14474342,13;14422524,37;15244263,04;14456900,17;14194462,47;15888890,34;19161286,82;17888122,69;18603393,84;18027757,30;17965066,62;18006673,47;19978763,50;21411795,71;26633214,17;20528950,26;26557220,33;23404456,61;23102227,27;21365845,35;20558017,99;13035203,22;5037687,09;1467172360,15
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2408,46;75006,62;77128,08;824489,67;886149,99;1543694,75;1628146,97;1743562,81;1822724,18;1637458,04;1374247,23;1613270,45;1586569,21;1712994,69;1483195,30;1783411,48;1713083,73;1724464,55;1965346,91;1835094,30;1816091,81;1741449,49;1779522,80;1698450,51;1739855,56;1649617,13;1444697,49;1828395,54;1743474,24;1939379,14;1778530,78;1823403,51;1747774,43;1829305,24;1729649,82;1871178,67;1869142,14;1887718,26;1597471,04;1745134,84;1898707,04;1942169,09;2134345,63;2171784,52;2229474,30;2160274,93;1947876,98;1879257,48;1936490,66;2246381,06;1942964,56;2270396,07;2015889,15;2041207,48;2319997,69;2259177,13;2391763,62;2121304,37;2269515,21;2107082,21;2327038,16;2305692,84;2184687,40;2527518,37;2327703,71;2685646,24;2608089,23;2601749,21;2806571,03;2680117,85;2617771,04;2597672,28;2605092,99;2655417,31;2416134,71;2595037,10;2652276,22;2762857,80;2893014,71;2766653,63;3254294,89;2818697,61;2886721,85;2456455,28;2412328,86;2582741,92;2421512,45;2771748,88;2715906,60;2772051,90;2575384,02;2798331,17;3169865,96;3028417,37;3095921,17;3029025,51;2803858,40;2987482,85;2913608,29;2775323,76;2259712,20;2879008,99;3272544,40;3148595,99;3180492,61;2922283,53;3278819,79;3527654,89;3173236,30;3488771,49;4107013,47;5328789,93;4102245,41;3606601,96;3408966,28;3266840,17;2864952,45;1496814,75;271778514,22
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62977,66;445447,80;1851862,51;4221819,28;6018308,35;10926226,07;14070249,93;13651471,60;13703081,63;15002233,49;14822381,55;14175053,56;13563122,43;15788199,24;14695088,76;16799343,62;17336042,63;17537755,21;16410461,99;16900285,73;16974768,30;16574470,58;16610057,30;16119183,77;15258207,79;17713329,16;16498915,02;17484651,20;17429833,24;17546744,72;17027707,67;17697345,31;17661821,08;17784489,36;17605289,44;18039129,97;17059976,13;17994675,71;16328257,80;19280484,06;18189405,12;19545366,12;18173229,43;18345173,20;18096363,74;18350437,15;18037133,17;17313998,20;17290377,23;17668063,44;16866897,93;19156159,35;18855344,71;19327612,42;19336821,74;18993056,24;20561019,42;20381320,89;18849166,61;19139754,99;18684187,40;20318523,94;17980780,79;21965039,26;20294077,50;22240744,25;20711297,48;21235645,17;21547576,76;21213812,58;21244230,48;20997082,24;21229796,72;21195912,45;19451830,86;22053308,33;22543678,49;23138233,20;22214115,83;22056208,50;22562695,57;22053427,38;24438750,48;21529160,35;21359629,04;21927810,44;20370050,24;20986589,10;17912356,39;17476565,84;15686513,98;23640723,72;23437433,48;23689592,98;23966314,10;22738532,88;22924378,39;23795448,27;22485263,73;21994205,17;19849521,58;30416190,81;27359772,85;25879674,96;24807106,87;22727054,05;23812335,69;22966402,96;23182321,62;25353892,28;24453195,46;35755308,65;36971294,45;34887478,73;28219894,96;19693136,71;10539297,28;1856831,75;2251169687,17
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4280,78;14431,27;97998,88;342110,84;1092829,92;1252540,32;1396836,23;1382853,61;1326829,00;1362948,95;1285754,94;1188825,03;1389431,22;1314307,19;1419209,06;1545837,57;1468765,38;1430796,79;1337349,66;1412691,90;1424868,63;1588412,08;1423028,78;1318342,28;1436047,97;1301446,19;1408395,51;1499757,46;1337459,00;1207230,10;1364760,34;1386752,52;1386865,99;1315783,37;1214083,22;1049053,55;1187882,23;1084630,14;1330673,44;1353819,58;1416969,49;1476114,88;1347922,21;1383906,44;1374287,29;1297260,68;1240512,62;1195518,06;1214055,05;1182009,80;1419219,38;1373633,65;1378651,02;1453363,92;1244688,47;1220114,40;1182462,21;1104298,42;1090642,44;1123028,04;1267079,91;1086801,38;1385863,99;1300476,60;1452451,75;1428983,35;1328414,80;1321488,91;1251293,72;1278401,93;1060513,15;988568,81;1216711,16;1131514,40;1272968,72;1379003,80;1514539,17;1460452,34;1603051,07;1741658,00;1723844,54;1858960,04;1619999,28;1789679,46;1921583,02;1770067,06;1893423,52;1870020,18;1728537,50;1909418,67;1707278,67;1458917,83;1677848,50;1736593,68;1650737,23;1529713,86;1628547,03;1694408,43;1664541,62;1494358,56;2610628,73;2502560,67;2121496,58;2129048,08;1930543,40;2122960,75;2224930,95;2308801,50;2292633,41;2090414,06;3532397,14;4820263,30;5174182,93;4927973,84;3634422,65;1564425,21;568686,89;181759665,12
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1229,40;615375,69;1937828,33;4560589,73;5916510,99;6008235,27;6345427,93;5970567,97;6152310,35;6236748,03;6103896,60;6125459,89;5921593,86;6947403,79;6887585,07;6992305,56;6536815,94;6293930,94;6520373,14;6521269,83;6747594,59;6383251,49;6102918,98;6325637,38;5977995,21;6399414,03;6700930,55;7084115,47;6600101,39;6598867,10;6856063,79;6742022,30;7160917,68;6045891,38;6208464,76;5645913,13;5323510,05;5989936,38;6133361,63;5924939,01;6191530,14;5833805,18;5865356,05;5504936,83;5674752,87;4977333,71;4525124,54;5080691,31;5303746,75;5787468,85;5893610,16;5842332,10;5810792,84;5320847,68;5185003,46;5000802,90;5176159,23;5193846,48;5451309,70;5339212,28;5038141,79;6298949,28;5204465,53;5522390,30;5390623,37;5146866,41;5405040,93;4654993,84;4395417,05;3808307,84;4540608,68;4489015,40;3725794,25;4019282,29;4204600,27;4808187,77;4194570,50;4133089,83;4346223,99;4411740,38;4831371,01;5130476,92;5157459,62;5091310,03;4681651,25;5373730,23;5984063,20;5818734,83;5963824,56;5973706,27;5980099,34;6060708,99;6370240,76;6307162,20;6596867,44;6007685,00;6376472,87;6141873,16;5417990,78;6038149,71;6489336,91;7118990,94;8303574,93;7741780,04;6446555,74;6902933,09;8004915,92;7692043,11;7651376,53;8874536,78;8521002,07;8609812,37;4334791,15;2927454,31;1511288,43;312354,68;654990602,54
"21 Maranhão";371914,91;9095,34;-;-;-;-;-;9095,34;-;-;-;-;-;-;-;18190,68;9095,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9095,34;-;-;-;-;9095,34;-;-;-;-;-;-;2037,75;17145,71;8970,25;3978,87;27158,63;224770,50;385661,25;1541182,66;4221715,86;10774693,73;16731151,63;17274573,16;18092894,26;17206447,66;16561553,69;14988658,24;14797514,01;19945840,04;16710045,16;18916569,02;18923082,88;19396858,61;18601614,22;18940764,77;19522595,11;19500273,82;20325063,20;18957409,39;18625470,66;20450925,57;18771169,28;21125941,30;20554383,04;20575956,25;19112290,33;20536430,23;20423585,42;20143154,62;20257715,49;19527702,77;18670944,92;19839154,94;18475671,11;22162872,47;22146497,34;21972667,50;20191519,41;21234919,03;21382992,68;20688932,78;20943065,59;19179770,59;18998327,23;20261946,06;19724370,12;21319451,91;21300654,14;21772946,01;20850660,73;20634808,14;21835260,92;21089309,88;20050674,34;18498524,62;17081265,10;20452279,11;20184974,12;23098628,49;21286462,97;22939444,69;22133646,03;23073293,63;23552268,26;22244862,90;23024562,55;23003880,31;22692356,37;24536314,27;21821224,12;24602977,77;25044631,23;24930908,05;23476003,72;25031470,22;25314242,81;24561849,98;25140613,17;22962770,56;23085340,94;24008830,83;21774694,60;24464056,80;24343949,28;25337471,42;22483090,29;22701714,78;22195897,44;22531715,00;22894836,50;22122593,92;21609768,11;22846108,33;20985247,35;21274108,33;18596237,46;26720317,32;27074435,18;24728718,71;23455541,10;22641340,25;24826052,83;23508036,41;23083027,57;22733706,17;26491820,43;41976803,52;38952632,37;40541263,10;38605305,40;28844099,64;20571752,19;8619684,52;2475187602,31
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2982,08;167940,67;-;-;2932,37;-;-;-;64760,78;-;-;-;50993,52;-;173706,02;-;-;1414150,83;-;1789,24;231210,40;-;-;-;3628,19;146519,41;2186,85;-;169315,71;146883,74;182443,69;1086264,35;2080629,43;4779880,30;8150644,52;8946418,15;8850196,08;8866248,19;8791004,13;7967641,14;8219045,54;8958097,35;8400191,19;9262104,96;10315081,90;10170963,60;10107233,94;9818387,64;9746137,26;9537816,54;9575484,24;9214485,72;8815389,56;10147548,16;9314391,28;10006761,34;10114136,05;10365387,67;9806598,57;10428511,04;10341230,66;10343959,94;10231987,66;9731397,97;9345579,97;9779739,33;8969404,96;10541978,11;10761252,10;10669601,55;10026554,80;10217465,32;10815086,33;10566013,25;10497109,85;10166160,02;9870191,05;10634690,97;9915643,99;11316401,76;10871818,19;11355067,08;11315547,13;11025721,08;11373265,06;11237701,87;10730120,52;10253387,71;10060731,90;10999651,14;10255881,03;11717968,93;11347715,00;12259972,63;10949820,49;10941466,21;10954139,76;11082203,05;11157785,13;11230599,15;11039756,54;11017268,62;9730772,76;11489404,70;11797387,77;12340397,55;11455167,84;11570555,65;11642925,44;11211666,17;11772044,75;10784990,97;11283194,55;11682712,32;10881510,22;12147196,53;11772635,67;12630189,42;12483262,72;12593448,30;12886641,45;12727185,21;13595369,54;13059057,19;12402840,95;12537788,74;11941772,73;11044504,94;9188566,10;11517101,55;14785474,84;19906603,92;17263739,93;15991039,78;15859579,57;16049862,31;16086742,77;17346286,08;15872535,23;25741961,00;26862132,17;26782391,77;19873928,65;14639384,89;10343573,29;6412436,17;1312511125,25
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47713,24;-;-;-;-;1739,54;159152,95;487919,71;1001961,30;3585091,45;7778445,52;13509183,40;15803876,65;15502600,55;16630296,92;15723928,18;16552451,76;15740440,60;14697904,96;17500874,49;16016827,55;16945952,99;19305187,57;21460343,55;20145715,80;21419394,93;23149803,56;23428994,73;22454468,80;21284921,14;21432232,74;22975317,10;21123586,34;22697031,49;22082231,23;23155210,72;22498080,27;22215094,18;21178052,03;21255190,51;21093225,33;19913732,55;20493887,43;19937774,23;20246047,14;22415847,65;22059466,15;21350497,13;22657033,50;22499485,02;23200607,42;22143156,89;22780721,06;21324815,01;21562992,54;22301546,93;22286731,84;23025373,07;21960163,43;24192552,90;24250350,33;23342825,19;24277589,28;23137916,37;22023883,65;22621890,12;22890100,27;22468352,44;22298696,86;27240153,45;25613672,89;28446504,38;28982366,62;28973312,70;29313837,32;26711427,47;28975732,48;25790583,56;26792801,88;29111658,81;24670071,58;28299523,50;29636124,87;30385833,78;28176916,97;28098993,09;30595309,09;27378428,61;30474476,05;27567982,14;26543639,23;30031595,14;27866448,65;31055119,96;30859382,90;33226590,42;29783358,40;31460154,85;30486821,99;30167571,12;31721070,81;30361211,56;29447414,59;31979075,64;29768244,58;28335371,15;30475626,63;43611068,83;38559483,09;37146879,13;33667866,15;32366093,33;32914721,81;32980096,38;34199516,25;35743276,53;38841282,52;68613869,04;70844805,37;69159858,17;53591220,85;35822277,59;19638649,00;7020527,03;3015230380,11
